AURA_DRAIN_PER	Emiþ bonusu %.1f%%
AURA_LEVEL_STEP	Sv %d (Seviye %d)
AURA_TITLE_ABSORB	Deðerleri aura giysisine aktar.
AURA_TITLE_EVOLUTION	Aura giysisini yükselt
AURA_TITLE_GROWTH	Aura giysisini geliþtir
AURA_TOOLTIP_EXP	EXP (%%%d / %%100)
AURA_TOOLTIP_LEVEL	Sv %d (Seviye %d) (Emiþ oraný %%%.1f)
AURA_TOOLTIP_NEED_YANG	%s Yang
AURA_TOOLTIP_NEXT	Yeni
AURA_TOOLTIP_NOW	Güncel
AURA_TOOLTIP_RESOURCE	Tüketim nesnesi
AURA_TOOLTIP_RESOURCE_ITEM	%s * %d
ACCOUNT_HAS_REGISTERED	Hesap zaten kayýt edilmiþ.
ASK_BUY_ITEM_TEXT	Satýn alma iþlemine devam etmek istiyor musun ? (Eþya: %s)
AFF_LOVE_POINT	Sevgi Puaný: %%%d
ALIGNMENT_NAME	Sýralamasý Puanlarý:
ARENA_QUESTION_DIALOG	Arena daveti yolluyor?
ARENA_QUESTION_DENY	Arena daveti reddedildi.
APPLY_ANTI_RESIST_MAGIC	Büyü bozma %%%d	SA
ATTACK_ERROR_UNKNOWN	Bilinmeyen Saldýrý Hatasý: %s
ATTENDANCE_REWARD_QUESTION	Ödülünü almak ister misin?
AUTO_TOOLTIP_LINE1	Beceriler: Savaþ için beceriler seç ve onlarý boþluklara çek. (Premium)
AUTO_TOOLTIP_LINE2	Not: Becerilerin altýnda etkinleþtirme sýklýðýný (saniye olarak) ayarlayabilirsin.
AUTO_TOOLTIP_LINE3	Ýksirler: Savaþ için iksirler seç ve onlarý boþluklara çek. (Premium)
AUTO_TOOLTIP_LINE4	Not: HP ve SP iksirleri iksirin altýnda bulunan % deðerinin altýna düþüldüðünde etkinleþir.
AUTO_TOOLTIP_LINE5	Not: Diðer iksirlerin süresi saniye olarak gösterilir.
AUTO_TOOLTIP_TITLE	Otomatik Av Yardýmý
AUTO_HUNT_ITEM_NULL	Otomatik Av Etkisi Mevcut Deðil.
BEAD	Animasfer
BEAD_TIME_REMAINING_TO_GET	Animasferin yüklenmesine kalan süre: %d dak.
BOSS_TRACKING_CAN_BE_DONE1	Gruplu veya Tek
BOSS_TRACKING_CAN_BE_DONE2	Gruplu
BOSS_TRACKING_CAN_BE_DONE3	Tek
BOSS_TRACKING_CAN_BE_DONE4	En az 2 kiþi ile bitirebilir.
BOSS_TRACKING_CAN_BE_DONE5	En az 2 kiþiyle veya tek bitirilebilir.
BOSS_TRACKING_LEVEL_LIMIT	%d. seviyeden sonra giriþ yapýlabilir.
BOSS_TRACKING_COOLDOWN_TIME	Zindan bittikten sonra %s beklemen gerekiyor.
BOSS_TRACKING_LIMIT_TIME	Zindanda %s kadar kalabilirsin.
BOSS_TRACKING_ENTRY_POINT_NAME	Giriþ noktasý: %s
BOSS_TRACKING_ELEMENT_NAME1	Bilinmiyor
BOSS_TRACKING_ELEMENT_NAME2	Etkili Týlsým: Ateþ
BOSS_TRACKING_ELEMENT_NAME3	Etkili Týlsým: Buz
BOSS_TRACKING_ELEMENT_NAME4	Etkili Týlsým: Rüzgar
BOSS_TRACKING_ELEMENT_NAME5	Etkili Týlsým: Toprak
BOSS_TRACKING_ELEMENT_NAME6	Etkili Týlsým: Karanlýk
BOSS_TRACKING_ELEMENT_NAME8	Etkili Týlsým: Þimþek
BOSS_TRACKING_ELEMENT_NAME7	Týlsým : Gireceðin zindana göre deðiþiklik gösterebilir. 
BOSS_TRACKING_AVAILABLE	Girilebilir
BOSS_TRACKING_UNAVAILABLE	Girilemez
BOSS_TRACKING_WARP_QUESTION_DLG1	Zindan giriþ noktasýna ýþýnlanmak istiyor musun?
BOSS_TRACKING_WARP_QUESTION_DLG2	Fiyat: %s
BOSS_TRACKING_REDUCE_COOLDOWN_TIME_QUESTION_DLG1	Soðuma süresini sýfýrlayabilirsin ancak bunun için
BOSS_TRACKING_REDUCE_COOLDOWN_TIME_QUESTION_DLG2	%d EP ödemen gerekiyor. Devam etmek istiyor musun?
BOSS_TRACKING_THERE_IS_NO_COOLDOWN_TIME	Bu zindan için karakterinizin soðuma süresi yok veya bu zindanda soðuma süresi yok.
BOSS_TRACKING_INFO_LEVEL	Seviye: %d
BOSS_TRACKING_INFO_REBORN_TIME	%s her %s bir çýkmaktadýr.
BOSS_TRACKING_INFO_AVAILABLE	Yaþýyor 
BOSS_TRACKING_SELECT_WINDOW_TITLE	Bilgi Seçim Tablosu
