AURA_MAIN	Aura Giysisi
AURA_SUB	Malzeme
ACCEPT	Tamam
ATTACH_METIN_INFO	Zihin taþýný eklemek istiyor musun?
ATTACH_METIN_TITLE	Zihin taþýný ekle
ATTENDANCE_TITLE	Patron Avcýsý Etkinliði
AUTO_AUTO_ATTACK	Saldýr
AUTO_AUTO_POSITION	Ýksirler
AUTO_AUTO_RANGE	Odak
AUTO_AUTO_SKILL	Beceriler
AUTO_CLEAR	Boþalt
AUTO_END	Dur
AUTO_OFF	Kapalý
AUTO_ON	Açýk
AUTO_POSITION_SETTING	Ýksirler
AUTO_SETTING	Ayarlar
AUTO_SKILL_SETTING	Beceriler
AUTO_START	Baþla
AUTO_TITLE	Otomatik Av
AUTO_TOOLTIP_LINE1	Beceriler: Savaþ için beceriler seç ve onlarý boþluklara çek. (Premium)
AUTO_TOOLTIP_LINE2	Not: Becerilerin altýnda etkinleþtirme sýklýðýný (saniye olarak) ayarlayabilirsin.
AUTO_TOOLTIP_LINE3	Ýksirler: Savaþ için iksirler seç ve onlarý boþluklara çek. (Premium)
AUTO_TOOLTIP_LINE4	Not: HP ve SP iksirleri iksirin altýnda bulunan % deðerinin altýna düþüldüðünde etkinleþir.
AUTO_TOOLTIP_LINE5	Not: Diðer iksirlerin süresi saniye olarak gösterilir.
AUTO_TOOLTIP_TITLE	Otomatik Av Yardýmý
BATTLE_FIELD_MONDAY	Pazartesi
BATTLE_FIELD_TUESDAY	Salý
BATTLE_FIELD_WEDNESDAY	Çarþamba
BATTLE_FIELD_THURSDAY	Perþembe
BATTLE_FIELD_FRIDAY	Cuma
BATTLE_FIELD_SATURDAY	Cumartesi
BATTLE_FIELD_SUNDAY	Pazar
BATTLE_FIELD_EACH_DAY	%s: %02i:%02i  - %02i:%02i 
BATTLE_FIELD_POINTS	%d
BATTLE_FIELD_REQUEST_POTION	Ýksir Satýn Al
BATTLE_FIELD_MONSTERS_LIMIT	%d/%d
BATTLE_FIELD_INFO	Savaþ Bölgesi
BATTLE_FIELD_OPERATION_ONLINE	Giriþ mümkün.
BATTLE_FIELD_OPERATION_OFFLINE	Giriþ þu anda mümkün deðil.
BATTLE_FILED_RANK	Rütbe
BATTLE_FILED_RANK_EMPIRE	Krallýk
BATTLE_FILED_RANK_NAME	Ýsim
BATTLE_FILED_RANK_POINT	Puan
BOSS_TRACKING_WINDOW_TITLE	Zindan Takip
BOSS_TRACKING_SELECT_WINDOW_TITLE	Bakmak Ýstediðin Tabloyu Seç
BOSS_TRACKING_SELECT_BUTTON1	Patron Bilgisi
BOSS_TRACKING_SELECT_BUTTON2	Zindan Takip
BOSS_TRACKING_INFO_CHANNEL	6 Kanalda da çýkmaktadýr.
BOSS_TRACKING_INFO_WINDOW_TITLE	Patron Bilgisi 
BOSS_TRACKING_RANKING_WINDOW_TITLE	Sýralama 
CANCEL	iptal
CHANGE_PASSWORD_CONFIRM	Yeni þifreyi tekrarla
CHANGE_PASSWORD_NEW	Yeni þifre
CHANGE_PASSWORD_OLD	Eski þifre
CHANGE_PASSWORD_TITLE	Þifre Deðiþtir
CHARACTER_ACTION	Duygu
CHARACTER_EMOTICON	Duygu
CHARACTER_MAIN	Karakter
CHARACTER_MUTUAL_ACTION	Ortak Hareket
CHARACTER_NORMAL_ACTION	Normal Hareket
CHARACTER_QUEST	Görevler
CHARACTER_SKILL	Beceri
CHARACTER_SPECTIAL_ACTION	Özel hareketler
CHEST_SEARCH_TITLE	Sandýk Aynasý
CHEST_SEARCH_COUNT	Açýlacak Sandýk %d
CHEQUE_TICKET_TITLE	Won Çeki Penceresi
CLOSE	Kapat
COSTUME_WINDOW_TITLE	Kostümler
COMB_TITLE	Kombinasyon Penceresi
COMB_APPEARANCE	Alýcý
COMB_ATTRIBUTE	Orijinal
COMB_SKILLBOOK_TILE	Kitap takas et
CREATE_ATT_GRADE	STR
CREATE_CREATE	Oluþtur
CREATE_DEX_GRADE	DEX
CREATE_HP	HP
CREATE_LAST_POINT	Puan
CREATE_MAN	Erkek
CREATE_NAME	Isim
CREATE_NEXT	Sonraki
CREATE_PREV	Önceki
CREATE_SEX	Cinsiyet
CREATE_SHAPE	Biçim
CREATE_SP	INT
CREATE_STAT_RESET	Sýfýrla
CREATE_WOMAN	Kadýn
CZ_REWARD_WINDOW_TITLE	Zodyak Tapýnaðý
CUBE_INFO_TITLE	Arýndýrma Kýlavuzu
CUBE_REQUIRE_MATERIAL	Gerekli malzemeler:
CUBE_REQUIRE_MATERIAL_OR	veya
CUBE_TITLE	Arýndýrma Paneli
CUBE_MAKE_ALL	Hýzlý Arýndýr.
CUBE_EX_WINDOW_TITLE	Yükseltme Penceresi
CUBE_EX_MAIN_BOARD_WINDOW_TITLE	Demirci
CUBE_EX_SUBBOARD_WINDOW_TITLE	Zodyak Silahlarýný Arýndýr
CUBE_EX_SUBBOARD_INSIDE_TEXT1	Zodyak silahlarýný sadece buradan arýndýrabilirsin.
CUBE_EX_SUBBOARD_INSIDE_TEXT2	Liste'ye basarak hangi eþyalarýn istendiðini görebilirsin.
CUBE_EX_SUBBOARD_INSIDE_TEXT3	75. Seviye silahýnýn +9'una ihtiyacýn olduðunu unutma.
CUBE_EX_OPEN_LIST_BUTTON	Liste
DAILY_REWARD01	Günlük Hediye
DAILY_REWARD02	Hediye
DAILY_REWARD03	Kabul Et
DAILY_REWARD04	Mevcut Hediyeler:
DAILY_REWARD05	Zaman:
DO_REFINE	Arýndýr
DO_ALL_REFINE	Hýzlý Arýndýr
DRAGONSOUL_ACTIVATE	Etkinleþtir
DRAGONSOUL_PAGE_BUTTON_1	Ýþlenmemiþ
DRAGONSOUL_PAGE_BUTTON_2	Yontulmuþ
DRAGONSOUL_PAGE_BUTTON_3	Ender
DRAGONSOUL_PAGE_BUTTON_4	Antika
DRAGONSOUL_PAGE_BUTTON_5	Efsanevi
DRAGONSOUL_REFINE_WINDOW_TITLE	Arýndýrma Paneli
DRAGONSOUL_TAP_TITLE_1	Ejderha Elmasý
DRAGONSOUL_TAP_TITLE_2	Ejderha Yakutu
DRAGONSOUL_TAP_TITLE_3	Ejderha Yeþimi
DRAGONSOUL_TAP_TITLE_4	Ejderha Safiri
DRAGONSOUL_TAP_TITLE_5	Ejderha Grenasý
DRAGONSOUL_TAP_TITLE_6	Ejderha Oniksi
DRAGONSOUL_TITLE	Ejderha Taþý Simyasý
DRAGONSOUL_REFINE	Arýndýrma
DRAGONSOUL_SHOP	Market
DUNGEON_INFO	Zindan Bilgileri
DUNGEON_INFO_TYPE	Tip:
DUNGEON_INFO_ORGANIZATION	Oyuncu:
DUNGEON_INFO_LEVEL_LIMIT	Seviye Limiti:
DUNGEON_INFO_PARTY_MEMBERS	Grup Üyesi:
DUNGEON_INFO_COOLDOWN	Bekleme Süresi:
DUNGEON_INFO_DURATION	Süre:
