//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
//-----------------------------------------------------------------------------------
g	355	366	60	212	0	0	1m	100	18	45
g	355	366	60	212	0	0	1m	100	8	46
g	355	366	60	212	0	0	1m	100	8	47
g	220	613	72	114	0	0	1m	100	5	45
g	220	613	72	114	0	0	1m	100	12	46
g	220	613	72	114	0	0	1m	100	5	47
g	422	683	124	40	0	0	1m	100	3	45
g	422	683	124	40	0	0	1m	100	7	46
g	422	683	124	40	0	0	1m	100	3	47
g	516	389	18	232	0	0	1m	100	3	45
g	516	389	18	232	0	0	1m	100	3	46
g	516	389	18	232	0	0	1m	100	3	47
g	516	389	18	232	0	0	1m	100	2	48
g	763	607	108	240	0	0	1m	100	17	49
g	763	607	108	240	0	0	1m	100	17	50
g	763	607	108	240	0	0	1m	100	12	51
g	763	607	108	240	0	0	1m	100	12	52
g	763	607	108	240	0	0	1m	100	12	53
g	442	858	220	46	0	0	1m	100	6	49
g	442	858	220	46	0	0	1m	100	6	50
g	442	858	220	46	0	0	1m	100	4	51
g	442	858	220	46	0	0	1m	100	4	52
g	442	858	220	46	0	0	1m	100	4	53
g	1170	786	220	110	0	0	1m	100	18	49
g	1170	786	220	110	0	0	1m	100	18	50
g	1170	786	220	110	0	0	1m	100	10	51
g	1170	786	220	110	0	0	1m	100	10	52
g	1170	786	220	110	0	0	1m	100	10	53
g	1334	1199	90	200	0	0	1m	100	5	49
g	1334	1199	90	200	0	0	1m	100	6	50
g	1334	1199	90	200	0	0	1m	100	12	51
g	1334	1199	90	200	0	0	1m	100	12	52
g	1334	1199	90	200	0	0	1m	100	12	53
g	1334	1199	90	200	0	0	1m	100	1	54
g	1334	1199	90	200	0	0	1m	100	1	55
g	193	1162	60	154	0	0	1m	100	3	49
g	193	1162	60	154	0	0	1m	100	4	50
g	193	1162	60	154	0	0	1m	100	5	51
g	193	1162	60	154	0	0	1m	100	5	52
g	193	1162	60	154	0	0	1m	100	6	53
g	193	1162	60	154	0	0	1m	100	1	54
g	193	1162	60	154	0	0	1m	100	1	55
g	1077	227	100	86	0	0	1m	100	9	45
g	1077	227	100	86	0	0	1m	100	7	46
g	1077	227	100	86	0	0	1m	100	7	47
g	1159	454	204	116	0	0	1m	100	20	45
g	1159	454	204	116	0	0	1m	100	20	46
g	1159	454	204	116	0	0	1m	100	22	47
g	1159	454	204	116	0	0	1m	100	2	48
g	387	1204	38	200	0	0	1m	100	4	45
g	387	1204	38	200	0	0	1m	100	5	46
g	387	1204	38	200	0	0	1m	100	5	47
g	757	1032	240	36	0	0	1m	100	3	45
g	757	1032	240	36	0	0	1m	100	4	46
g	757	1032	240	36	0	0	1m	100	7	47
g	757	1032	240	36	0	0	1m	100	2	48
g	1127	1145	38	118	0	0	1m	100	2	45
g	1127	1145	38	118	0	0	1m	100	3	46
g	1127	1145	38	118	0	0	1m	100	3	47
g	1036	1332	112	60	0	0	1m	100	5	45
g	1036	1332	112	60	0	0	1m	100	5	46
g	1036	1332	112	60	0	0	1m	100	3	47
g	824	1195	170	50	0	0	1m	100	8	45
g	824	1195	170	50	0	0	1m	100	4	46
g	824	1195	170	50	0	0	1m	100	4	47
g	542	1305	54	150	0	0	1m	100	7	45
g	542	1305	54	150	0	0	1m	100	4	46
g	542	1305	54	150	0	0	1m	100	4	47
m	752	1418	0	0	0	0	1m	100	1	10010
m	155	287	0	0	0	0	1m	100	1	10011
m	1396	152	0	0	0	0	1m	100	1	10012
