//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
//-----------------------------------------------------------------------------------
g	450	899	102	30	0	0	1m	100	11	22
g	450	899	102	30	0	0	1m	100	11	23
g	450	899	102	30	0	0	1m	100	1	28
g	450	899	102	30	0	0	1m	100	1	29
g	716	864	158	54	0	0	1m	100	32	22
g	716	864	158	54	0	0	1m	100	32	23
g	716	864	158	54	0	0	1m	100	1	26
g	716	864	158	54	0	0	1m	100	1	27
g	841	418	72	42	0	0	1m	100	11	20
g	841	418	72	42	0	0	1m	100	10	21
g	841	418	72	42	0	0	1m	100	1	32
g	841	418	72	42	0	0	1m	100	1	33
g	851	577	100	114	0	0	1m	100	45	20
g	851	577	100	114	0	0	1m	100	42	21
g	851	577	100	114	0	0	1m	100	1	31
g	851	577	100	114	0	0	1m	100	1	32
g	801	751	74	56	0	0	1m	100	15	20
g	801	751	74	56	0	0	1m	100	15	21
g	801	751	74	56	0	0	1m	100	1	30
g	801	751	74	56	0	0	1m	100	1	31
g	443	394	68	48	0	0	1m	100	25	24
g	637	664	38	36	0	0	1m	100	10	24
g	311	166	48	54	0	0	1m	100	5	34
g	311	166	48	54	0	0	1m	100	5	35
g	311	166	48	54	0	0	1m	100	5	36
g	311	166	48	54	0	0	1m	100	5	37
g	311	166	48	54	0	0	1m	100	1	38
g	475	125	114	16	0	0	1m	100	3	34
g	475	125	114	16	0	0	1m	100	3	35
g	475	125	114	16	0	0	1m	100	3	36
g	475	125	114	16	0	0	1m	100	3	37
g	475	125	114	16	0	0	1m	100	1	38
g	667	128	74	42	0	0	1m	100	6	34
g	667	128	74	42	0	0	1m	100	6	35
g	667	128	74	42	0	0	1m	100	6	36
g	667	128	74	42	0	0	1m	100	6	37
g	667	128	74	42	0	0	1m	100	1	38
g	855	318	74	50	0	0	1m	100	7	34
g	855	318	74	50	0	0	1m	100	7	35
g	855	318	74	50	0	0	1m	100	7	36
g	855	318	74	50	0	0	1m	100	7	37
g	855	318	74	50	0	0	1m	100	1	38
g	208	279	38	84	0	0	1m	100	7	39
g	208	279	38	84	0	0	1m	100	7	40
g	208	279	38	84	0	0	1m	100	7	41
g	208	279	38	84	0	0	1m	100	2	42
g	208	279	38	84	0	0	1m	100	2	43
g	208	279	38	84	0	0	1m	100	1	44
g	124	641	38	172	0	0	1m	100	4	39
g	124	641	38	172	0	0	1m	100	4	40
g	124	641	38	172	0	0	1m	100	10	41
g	124	641	38	172	0	0	1m	100	16	42
g	124	641	38	172	0	0	1m	100	16	43
g	124	641	38	172	0	0	1m	100	1	44
g	204	629	38	78	0	0	1m	100	2	39
g	204	629	38	78	0	0	1m	100	2	40
g	204	629	38	78	0	0	1m	100	5	41
g	204	629	38	78	0	0	1m	100	8	42
g	204	629	38	78	0	0	1m	100	8	43
g	204	629	38	78	0	0	1m	100	1	44
g	286	853	46	66	0	0	1m	100	7	39
g	286	853	46	66	0	0	1m	100	7	40
g	286	853	46	66	0	0	1m	100	7	41
g	286	853	46	66	0	0	1m	100	2	42
g	286	853	46	66	0	0	1m	100	2	43
g	286	853	46	66	0	0	1m	100	1	44
m	450	608	0	0	0	5	1m	100	1	9001
m	471	608	0	0	0	5	1m	100	1	9002
m	422	608	0	0	0	3	1m	100	1	9003
m	430	574	0	0	0	6	1m	100	1	9005
m	487	666	0	0	0	8	1m	100	1	9006
m	948	804	0	0	0	0	1m	100	1	10004
m	100	150	0	0	0	0	1m	100	1	10007
