//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
//-----------------------------------------------------------------------------------
g	232	240	100	32	0	0	1m	100	11	22
g	232	240	100	32	0	0	1m	100	11	23
g	232	240	100	32	0	0	1m	100	2	26
g	232	240	100	32	0	0	1m	100	2	27
g	204	430	70	82	0	0	1m	100	20	22
g	204	430	70	82	0	0	1m	100	20	23
g	204	430	70	82	0	0	1m	100	2	28
g	204	430	70	82	0	0	1m	100	2	29
g	568	208	240	50	0	0	1m	100	45	20
g	568	208	240	50	0	0	1m	100	45	21
g	568	208	240	50	0	0	1m	100	2	30
g	568	208	240	50	0	0	1m	100	2	31
g	852	272	38	104	0	0	1m	100	13	20
g	852	272	38	104	0	0	1m	100	13	21
g	852	272	38	104	0	0	1m	100	2	32
g	852	272	38	104	0	0	1m	100	2	33
g	732	374	38	108	0	0	1m	100	32	24
g	586	387	34	76	0	0	1m	100	20	24
g	566	694	78	48	0	0	1m	100	7	34
g	566	694	78	48	0	0	1m	100	7	35
g	566	694	78	48	0	0	1m	100	7	36
g	566	694	78	48	0	0	1m	100	7	37
g	566	694	78	48	0	0	1m	100	1	38
g	336	573	52	86	0	0	1m	100	8	34
g	336	573	52	86	0	0	1m	100	8	35
g	336	573	52	86	0	0	1m	100	8	36
g	336	573	52	86	0	0	1m	100	8	37
g	336	573	52	86	0	0	1m	100	1	38
g	210	626	66	110	0	0	1m	100	14	34
g	210	626	66	110	0	0	1m	100	14	35
g	210	626	66	110	0	0	1m	100	14	36
g	210	626	66	110	0	0	1m	100	14	37
g	210	626	66	110	0	0	1m	100	1	38
g	501	817	240	64	0	0	1m	100	24	39
g	501	817	240	64	0	0	1m	100	24	40
g	501	817	240	64	0	0	1m	100	24	41
g	501	817	240	64	0	0	1m	100	24	42
g	501	817	240	64	0	0	1m	100	24	43
g	501	817	240	64	0	0	1m	100	2	44
g	817	695	70	112	0	0	1m	100	12	39
g	817	695	70	112	0	0	1m	100	12	40
g	817	695	70	112	0	0	1m	100	12	41
g	817	695	70	112	0	0	1m	100	12	42
g	817	695	70	112	0	0	1m	100	12	43
g	817	695	70	112	0	0	1m	100	1	44
m	448	387	0	0	0	8	1m	100	1	9001
m	461	374	0	0	0	8	1m	100	1	9002
m	389	356	0	0	0	4	1m	100	1	9003
m	471	347	0	0	0	7	1m	100	1	9005
m	419	309	0	0	0	5	1m	100	1	9006
m	103	92	0	0	0	0	1m	100	1	10002
m	772	140	0	0	0	0	1m	100	1	10008
