//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
//-----------------------------------------------------------------------------------
g	445	180	240	42	0	0	1m	100	37	22
g	445	180	240	42	0	0	1m	100	37	23
g	445	180	240	42	0	0	1m	100	2	26
g	445	180	240	42	0	0	1m	100	2	27
g	163	309	36	166	0	0	1m	100	22	22
g	163	309	36	166	0	0	1m	100	22	23
g	163	309	36	166	0	0	1m	100	1	28
g	163	309	36	166	0	0	1m	100	1	29
g	676	469	40	240	0	0	1m	100	36	20
g	676	469	40	240	0	0	1m	100	35	21
g	676	469	40	240	0	0	1m	100	2	30
g	676	469	40	240	0	0	1m	100	2	31
g	481	705	152	24	0	0	1m	100	13	20
g	481	705	152	24	0	0	1m	100	13	21
g	481	705	152	24	0	0	1m	100	1	32
g	481	705	152	24	0	0	1m	100	1	33
g	246	595	100	52	0	0	1m	100	40	24
g	841	622	30	240	0	0	1m	100	14	34
g	841	622	30	240	0	0	1m	100	14	35
g	841	622	30	240	0	0	1m	100	14	36
g	841	622	30	240	0	0	1m	100	14	37
g	841	622	30	240	0	0	1m	100	1	38
g	608	854	160	36	0	0	1m	100	13	39
g	608	854	160	36	0	0	1m	100	13	40
g	608	854	160	36	0	0	1m	100	13	41
g	608	854	160	36	0	0	1m	100	3	42
g	608	854	160	36	0	0	1m	100	3	43
g	608	854	160	36	0	0	1m	100	2	44
g	296	854	148	36	0	0	1m	100	3	39
g	296	854	148	36	0	0	1m	100	3	40
g	296	854	148	36	0	0	1m	100	8	41
g	296	854	148	36	0	0	1m	100	14	42
g	296	854	148	36	0	0	1m	100	13	43
g	296	854	148	36	0	0	1m	100	2	44
m	460	467	0	0	0	1	1m	100	1	9001
m	435	467	0	0	0	1	1m	100	1	9002
m	484	387	0	0	0	6	1m	100	1	9003
m	394	390	0	0	0	4	1m	100	1	9005
m	433	376	0	0	0	5	1m	100	1	9006
m	901	151	0	0	0	0	1m	100	1	10006
m	136	899	0	0	0	0	1m	100	1	10009
