VNUM	LOCALE_NAME
1	Yang
2	Türkçe Sürüm
10	Kýlýç+0
11	Kýlýç+1
12	Kýlýç+2
13	Kýlýç+3
14	Kýlýç+4
15	Kýlýç+5
16	Kýlýç+6
17	Kýlýç+7
18	Kýlýç+8
19	Kýlýç+9
20	Uzun Kýlýç+0
21	Uzun Kýlýç+1
22	Uzun Kýlýç+2
23	Uzun Kýlýç+3
24	Uzun Kýlýç+4
25	Uzun Kýlýç+5
26	Uzun Kýlýç+6
27	Uzun Kýlýç+7
28	Uzun Kýlýç+8
29	Uzun Kýlýç+9
30	Hilal Kýlýç +0
31	Hilal Kýlýç+1
32	Hilal Kýlýç+2
33	Hilal Kýlýç+3
34	Hilal Kýlýç+4
35	Hilal Kýlýç+5
36	Hilal Kýlýç+6
37	Hilal Kýlýç+7
38	Hilal Kýlýç+8
39	Hilal Kýlýç+9
40	Bambu Kýlýcý+0
41	Bambu Kýlýcý+1
42	Bambu Kýlýcý+2
43	Bambu Kýlýcý+3
44	Bambu Kýlýcý+4
45	Bambu Kýlýcý+5
46	Bambu Kýlýcý+6
47	Bambu Kýlýcý+7
48	Bambu Kýlýcý+8
49	Bambu Kýlýcý+9
50	Geniþ Kýlýç+1
51	Geniþ Kýlýç+1
52	Geniþ Kýlýç+2
53	Geniþ Kýlýç+3
54	Geniþ Kýlýç+4
55	Geniþ Kýlýç+5
56	Geniþ Kýlýç+6
57	Geniþ Kýlýç+7
58	Geniþ Kýlýç+8
59	Geniþ Kýlýç+9
60	Gümüþ Kýlýç+0
61	Gümüþ Kýlýç+1
62	Gümüþ Kýlýç+2
63	Gümüþ Kýlýç+3
64	Gümüþ Kýlýç+4
65	Gümüþ Kýlýç+5
66	Gümüþ Kýlýç+6
67	Gümüþ Kýlýç+7
68	Gümüþ Kýlýç+8
69	Gümüþ Kýlýç+9
70	Orkide Kýlýcý+0
71	Orkide Kýlýcý+1
72	Orkide Kýlýcý+2
73	Orkide Kýlýcý+3
74	Orkide Kýlýcý+4
75	Orkide Kýlýcý+5
76	Orkide Kýlýcý+6
77	Orkide Kýlýcý+7
78	Orkide Kýlýcý+8
79	Orkide Kýlýcý+9
80	Sahte Kýlýç+0
81	Sahte Kýlýç+1
82	Sahte Kýlýç+2
83	Sahte Kýlýç+3
84	Sahte Kýlýç+4
85	Sahte Kýlýç+5
86	Sahte Kýlýç+6
87	Sahte Kýlýç+7
88	Sahte Kýlýç+8
89	Sahte Kýlýç+9
90	Barbar Kýlýcý+0
91	Barbar Kýlýcý+1
92	Barbar Kýlýcý+2
93	Barbar Kýlýcý+3
94	Barbar Kýlýcý+4
95	Barbar Kýlýcý+5
96	Barbar Kýlýcý+6
97	Barbar Kýlýcý+7
98	Barbar Kýlýcý+8
99	Barbar Kýlýcý+9
100	Kanlý Kýlýç+0
101	Kanlý Kýlýç+1
102	Kanlý Kýlýç+2
