//type	cx	cy	sx	sy	z	dig	time	percent	count	vnum
//----------------------------------------------------------
m	761	671	5	5	0	0	180s	100	1	4939
m	789	683	5	5	0	0	180s	100	1	4939
m	815	660	5	5	0	0	180s	100	1	4939
m	811	619	5	5	0	0	180s	100	1	4939
m	775	605	5	5	0	0	180s	100	1	4939
m	741	645	5	5	0	0	180s	100	1	4939
m	749	679	5	5	0	0	180s	100	1	4939
m	765	692	5	5	0	0	180s	100	1	4939
m	751	645	5	5	0	0	180s	100	1	4939
m	737	661	5	5	0	0	180s	100	1	4939
m	749	605	5	5	0	0	180s	100	1	4939
m	803	637	5	5	0	0	180s	100	1	4940
m	808	664	5	5	0	0	180s	100	1	4940
m	795	690	5	5	0	0	180s	100	1	4940
m	778	699	5	5	0	0	180s	100	1	4940
m	775	681	5	5	0	0	180s	100	1	4940
m	783	661	5	5	0	0	180s	100	1	4940
m	791	615	5	5	0	0	180s	100	1	4940
m	787	602	5	5	0	0	180s	100	1	4940
m	755	609	5	5	0	0	180s	100	1	4940
m	751	659	5	5	0	0	180s	100	1	4940
m	774	665	5	5	0	0	180s	100	1	4940
m	751	691	5	5	0	0	180s	100	1	4940
m	761	671	5	5	0	0	180s	100	1	4939
m	789	683	5	5	0	0	180s	100	1	4939
m	815	660	5	5	0	0	180s	100	1	4939
m	811	619	5	5	0	0	180s	100	1	4939
m	775	605	5	5	0	0	180s	100	1	4939
m	741	645	5	5	0	0	180s	100	1	4939
m	749	679	5	5	0	0	180s	100	1	4939
m	765	692	5	5	0	0	180s	100	1	4939
m	751	645	5	5	0	0	180s	100	1	4939
m	737	661	5	5	0	0	180s	100	1	4939
m	749	605	5	5	0	0	180s	100	1	4939
m	803	637	5	5	0	0	180s	100	1	4940
m	808	664	5	5	0	0	180s	100	1	4940
m	795	690	5	5	0	0	180s	100	1	4940
m	778	699	5	5	0	0	180s	100	1	4940
m	775	681	5	5	0	0	180s	100	1	4940
m	783	661	5	5	0	0	180s	100	1	4940
m	791	615	5	5	0	0	180s	100	1	4940
m	787	602	5	5	0	0	180s	100	1	4940
m	755	609	5	5	0	0	180s	100	1	4940
m	751	659	5	5	0	0	180s	100	1	4940
m	774	665	5	5	0	0	180s	100	1	4940
m	751	691	5	5	0	0	180s	100	1	4940
m	761	671	5	5	0	0	180s	100	1	4939
m	789	683	5	5	0	0	180s	100	1	4939
m	815	660	5	5	0	0	180s	100	1	4939
m	811	619	5	5	0	0	180s	100	1	4939
m	775	605	5	5	0	0	180s	100	1	4939
m	741	645	5	5	0	0	180s	100	1	4939
m	749	679	5	5	0	0	180s	100	1	4939
m	765	692	5	5	0	0	180s	100	1	4939
m	751	645	5	5	0	0	180s	100	1	4939
m	737	661	5	5	0	0	180s	100	1	4939
m	749	605	5	5	0	0	180s	100	1	4939
m	803	637	5	5	0	0	180s	100	1	4940
m	808	664	5	5	0	0	180s	100	1	4940
m	795	690	5	5	0	0	180s	100	1	4940
m	778	699	5	5	0	0	180s	100	1	4940
m	775	681	5	5	0	0	180s	100	1	4940
m	783	661	5	5	0	0	180s	100	1	4940
m	791	615	5	5	0	0	180s	100	1	4940
m	787	602	5	5	0	0	180s	100	1	4940
m	755	609	5	5	0	0	180s	100	1	4940
m	751	659	5	5	0	0	180s	100	1	4940
m	774	665	5	5	0	0	180s	100	1	4940
m	751	691	5	5	0	0	180s	100	1	4940
m	761	671	5	5	0	0	180s	100	1	4939
m	789	683	5	5	0	0	180s	100	1	4939
m	815	660	5	5	0	0	180s	100	1	4939
m	811	619	5	5	0	0	180s	100	1	4939
m	775	605	5	5	0	0	180s	100	1	4939
m	741	645	5	5	0	0	180s	100	1	4939
m	749	679	5	5	0	0	180s	100	1	4939
m	765	692	5	5	0	0	180s	100	1	4939
m	751	645	5	5	0	0	180s	100	1	4939
m	737	661	5	5	0	0	180s	100	1	4939
m	749	605	5	5	0	0	180s	100	1	4939
m	803	637	5	5	0	0	180s	100	1	4940
m	808	664	5	5	0	0	180s	100	1	4940
m	795	690	5	5	0	0	180s	100	1	4940
m	778	699	5	5	0	0	180s	100	1	4940
m	775	681	5	5	0	0	180s	100	1	4940
m	783	661	5	5	0	0	180s	100	1	4940
m	791	615	5	5	0	0	180s	100	1	4940
m	787	602	5	5	0	0	180s	100	1	4940
m	755	609	5	5	0	0	180s	100	1	4940
m	751	659	5	5	0	0	180s	100	1	4940
m	774	665	5	5	0	0	180s	100	1	4940
m	751	691	5	5	0	0	180s	100	1	4940
m	761	671	5	5	0	0	180s	100	1	4939
m	789	683	5	5	0	0	180s	100	1	4939
m	815	660	5	5	0	0	180s	100	1	4939
m	811	619	5	5	0	0	180s	100	1	4939
m	775	605	5	5	0	0	180s	100	1	4939
m	741	645	5	5	0	0	180s	100	1	4939
m	749	679	5	5	0	0	180s	100	1	4939
m	765	692	5	5	0	0	180s	100	1	4939
m	751	645	5	5	0	0	180s	100	1	4939
m	737	661	5	5	0	0	180s	100	1	4939
m	749	605	5	5	0	0	180s	100	1	4939
m	803	637	5	5	0	0	180s	100	1	4940
m	808	664	5	5	0	0	180s	100	1	4940
m	795	690	5	5	0	0	180s	100	1	4940
m	778	699	5	5	0	0	180s	100	1	4940
m	775	681	5	5	0	0	180s	100	1	4940
m	783	661	5	5	0	0	180s	100	1	4940
m	791	615	5	5	0	0	180s	100	1	4940
m	787	602	5	5	0	0	180s	100	1	4940
m	755	609	5	5	0	0	180s	100	1	4940
m	751	659	5	5	0	0	180s	100	1	4940
m	774	665	5	5	0	0	180s	100	1	4940
m	751	691	5	5	0	0	180s	100	1	4940
