//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
m	385	430	0	0	0	0	40s	100	1	3955
m	383	430	0	0	0	0	40s	100	1	3955
m	380	430	0	0	0	0	40s	100	1	3955
m	394	430	0	0	0	0	40s	100	1	3955
m	394	430	0	0	0	0	40s	100	1	3955
m	376	430	0	0	0	0	40s	100	1	3955
m	392	430	0	0	0	0	40s	100	1	3955
m	385	430	0	0	0	0	40s	100	1	3954
m	383	430	0	0	0	0	40s	100	1	3954
m	388	430	0	0	0	0	40s	100	1	3954
m	390	430	0	0	0	0	40s	100	1	3954
m	392	430	0	0	0	0	40s	100	1	3954
m	385	430	0	0	0	0	40s	100	1	3955
m	383	430	0	0	0	0	40s	100	1	3955
m	380	430	0	0	0	0	40s	100	1	3955
m	390	430	0	0	0	0	40s	100	1	3955
m	392	430	0	0	0	0	40s	100	1	3955
m	394	430	0	0	0	0	40s	100	1	3955
m	394	430	0	0	0	0	40s	100	1	3955
m	376	430	0	0	0	0	40s	100	1	3955
m	392	430	0	0	0	0	40s	100	1	3955
m	385	430	0	0	0	0	40s	100	1	3954
m	383	430	0	0	0	0	40s	100	1	3954
m	376	430	0	0	0	0	40s	100	1	3954
m	388	430	0	0	0	0	40s	100	1	3954
m	390	430	0	0	0	0	40s	100	1	3954
m	392	430	0	0	0	0	40s	100	1	3954
