//type	cx	cy	sx	sy	z	dig	time	percent	count	vnum
//----------------------------------------------------------
m	364	295	5	5	0	0	10s	100	3	4901
m	375	274	5	5	0	0	10s	100	3	4901
m	387	289	5	5	0	0	10s	100	3	4901
m	348	269	5	5	0	0	10s	100	3	4901
m	341	240	5	5	0	0	10s	100	3	4901
m	331	267	5	5	0	0	10s	100	3	4901
m	286	263	5	5	0	0	10s	100	3	4901
m	258	255	5	5	0	0	10s	100	3	4901
m	220	258	5	5	0	0	10s	100	3	4901
m	186	247	5	5	0	0	10s	100	3	4901
m	153	229	5	5	0	0	10s	100	3	4901
m	144	212	5	5	0	0	10s	100	3	4901
m	148	188	5	5	0	0	10s	100	3	4901
m	163	241	5	5	0	0	10s	100	3	4901
m	197	262	5	5	0	0	10s	100	3	4901
m	148	241	5	5	0	0	10s	100	3	4901
m	142	221	5	5	0	0	10s	100	3	4901
m	150	202	5	5	0	0	10s	100	3	4901
m	140	200	5	5	0	0	10s	100	3	4901
m	339	287	5	5	0	0	10s	100	3	4902
m	383	253	5	5	0	0	10s	100	3	4902
m	397	275	5	5	0	0	10s	100	3	4902
m	374	303	5	5	0	0	10s	100	3	4902
m	343	301	5	5	0	0	10s	100	3	4902
m	308	265	5	5	0	0	10s	100	3	4902
m	271	261	5	5	0	0	10s	100	3	4902
m	248	263	5	5	0	0	10s	100	3	4902
m	211	249	5	5	0	0	10s	100	3	4902
m	173	249	5	5	0	0	10s	100	3	4902
m	153	217	5	5	0	0	10s	100	3	4902
m	357	260	5	5	0	0	10s	100	3	4903
m	357	275	5	5	0	0	10s	100	3	4903
m	361	305	5	5	0	0	10s	100	3	4903
m	363	235	5	5	0	0	10s	100	3	4903
m	263	269	5	5	0	0	10s	100	3	4903
m	197	251	5	5	0	0	10s	100	3	4903
m	147	179	5	5	0	0	10s	100	3	4903
m	160	231	5	5	0	0	10s	100	3	4903
m	235	251	5	5	0	0	10s	100	3	4903
m	293	274	5	5	0	0	10s	100	3	4903
m	337	253	5	5	0	0	10s	100	3	4903
m	327	281	5	5	0	0	10s	100	3	4903
m	387	263	5	5	0	0	10s	100	3	4903
m	169	241	5	5	0	0	10s	100	3	4903
m	231	260	5	5	0	0	10s	100	3	4903
m	312	275	5	5	0	0	10s	100	3	4903
m	369	257	5	5	0	0	10s	100	3	4901
m	245	254	5	5	0	0	10s	100	3	4901
m	145	164	5	5	0	0	10s	100	3	4901
m	148	171	5	5	0	0	10s	100	3	4901
m	152	163	5	5	0	0	10s	100	3	4901
m	373	284	5	5	0	0	10s	100	3	4902
m	351	312	5	5	0	0	10s	100	3	4902
m	395	300	5	5	0	0	10s	100	3	4902
m	375	243	5	5	0	0	10s	100	3	4903
m	353	288	5	5	0	0	10s	100	3	4903
m	187	253	5	5	0	0	10s	100	3	4903
m	145	156	5	5	0	0	10s	100	3	4903
m	147	193	5	5	0	0	10s	100	3	4903
