//type	cx	cy	sx	sy	z	dig	time	percent	count	vnum
//----------------------------------------------------------
m	246	768	5	5	0	0	30s	100	2	4967
m	214	759	5	5	0	0	30s	100	2	4967
m	184	761	5	5	0	0	30s	100	2	4967
m	181	790	5	5	0	0	30s	100	2	4967
m	230	783	5	5	0	0	30s	100	2	4967
m	245	804	5	5	0	0	30s	100	2	4967
m	208	837	5	5	0	0	30s	100	2	4967
m	194	810	5	5	0	0	30s	100	2	4967
m	226	802	5	5	0	0	30s	100	2	4967
m	184	829	5	5	0	0	30s	100	2	4967
m	235	851	5	5	0	0	30s	100	2	4967
m	258	841	5	5	0	0	30s	100	2	4967
m	265	817	5	5	0	0	30s	100	2	4967
m	261	782	5	5	0	0	30s	100	2	4967
m	177	785	5	5	0	0	30s	100	2	4967
m	156	814	5	5	0	0	30s	100	2	4967
m	161	832	5	5	0	0	30s	100	2	4967
m	182	854	5	5	0	0	30s	100	2	4967
m	222	859	5	5	0	0	30s	100	2	4967
m	213	840	5	5	0	0	30s	100	2	4967
m	231	824	5	5	0	0	30s	100	2	4967
m	237	810	5	5	0	0	30s	100	2	4967
m	216	796	5	5	0	0	30s	100	2	4967
m	183	808	5	5	0	0	30s	100	2	4967
m	198	834	5	5	0	0	30s	100	2	4967
m	206	792	5	5	0	0	30s	100	2	4967
m	208	782	5	5	0	0	30s	100	2	4968
m	189	792	5	5	0	0	30s	100	2	4968
m	211	807	5	5	0	0	30s	100	2	4968
m	229	819	5	5	0	0	30s	100	2	4968
m	193	821	5	5	0	0	30s	100	2	4968
m	202	811	5	5	0	0	30s	100	2	4968
m	208	818	5	5	0	0	30s	100	2	4968
m	219	833	5	5	0	0	30s	100	2	4968
m	198	848	5	5	0	0	30s	100	2	4968
m	197	859	5	5	0	0	30s	100	2	4968
m	213	825	5	5	0	0	30s	100	2	4968
m	202	799	5	5	0	0	30s	100	2	4968
m	235	785	5	5	0	0	30s	100	2	4968
m	242	775	5	5	0	0	30s	100	2	4968
m	224	764	5	5	0	0	30s	100	2	4968
m	198	773	5	5	0	0	30s	100	2	4968
m	184	772	5	5	0	0	30s	100	2	4968
m	236	803	5	5	0	0	30s	100	2	4968
m	220	789	5	5	0	0	30s	100	2	4968
m	221	814	5	5	0	0	30s	100	2	4968
m	266	805	5	5	0	0	30s	100	2	4968
m	262	787	5	5	0	0	30s	100	2	4968
m	244	850	5	5	0	0	30s	100	2	4968
m	209	864	5	5	0	0	30s	100	2	4968
m	163	845	5	5	0	0	30s	100	2	4968
m	157	803	5	5	0	0	30s	100	2	4968
m	166	785	5	5	0	0	30s	100	2	4968
m	173	773	5	5	0	0	30s	100	2	4968
