//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
m	385	377	0	0	0	0	20s	100	1	3404
m	383	377	0	0	0	0	20s	100	1	3405
m	380	377	0	0	0	0	20s	100	1	3402
m	378	377	0	0	0	0	20s	100	1	3401
m	376	377	0	0	0	0	20s	100	1	3605
m	388	377	0	0	0	0	20s	100	1	3602
m	390	377	0	0	0	0	20s	100	1	3604
m	392	377	0	0	0	0	20s	100	1	3601
m	377	377	0	0	0	0	20s	100	1	3603

m	385	430	0	0	0	0	20s	100	1	3953
m	383	430	0	0	0	0	20s	100	1	3953
m	380	430	0	0	0	0	20s	100	1	3953
m	378	430	0	0	0	0	20s	100	1	3953
m	376	430	0	0	0	0	20s	100	1	3953
m	383	430	0	0	0	0	20s	100	1	3953
m	383	430	0	0	0	0	20s	100	1	3953
m	394	430	0	0	0	0	20s	100	1	3955
m	385	430	0	0	0	0	20s	100	1	3955
m	383	430	0	0	0	0	20s	100	1	3955
m	380	430	0	0	0	0	20s	100	1	3955
m	378	430	0	0	0	0	20s	100	1	3955
m	394	430	0	0	0	0	20s	100	1	3954
m	385	430	0	0	0	0	20s	100	1	3954
m	383	430	0	0	0	0	20s	100	1	3954
m	380	430	0	0	0	0	20s	100	1	3954
m	378	430	0	0	0	0	20s	100	1	3954

m	374	389	0	0	0	0	20s	100	1	3957

m	365	389	0	0	0	0	20s	100	1	3950
m	365	388	0	0	0	0	20s	100	1	3950
m	365	388	0	0	0	0	20s	100	1	3950
m	365	387	0	0	0	0	20s	100	1	3950
m	365	386	0	0	0	0	20s	100	1	3950
