# 이름	아템번호	죽은번호	구운번호	확률 테이블				난이도	시간유형	길이최소	길이최대	월척최대	USED0	USED1	USED2	USED3	USED4	USED5	USED6	USED7	USED8	USED9
꽝	0	0	0	3000	3000	2100	2000	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
금반지	50002	0	0	50	50	200	200	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
쏘가리	27992	0	0	900	800	500	600	16	0	2000	3500	3800	0	1	0	0	2	3	4	0	0	0
월척붕어	27993	0	0	900	800	500	600	16	0	2000	3500	3800	0	1	0	0	2	3	4	0	0	0
잉어	27994	0	0	200	300	500	800	26	0	4000	6000	10000	0	1	0	0	2	3	4	0	0	0
피라미	27802	0	0	2000	1800	800	2200	10	4	500	550	600	0	0	0	0	0	0	0	0	0	0
붕어	27803	27833	27863	1950	1600	800	700	13	4	1000	2500	2800	0	1	0	0	2	3	4	0	0	0
쏘가리	27804	27834	27864	900	800	700	600	16	0	2000	3500	3800	0	1	0	0	2	3	4	0	0	0
월척붕어	27805	27835	27865	700	700	700	600	20	1	3030	3500	4300	0	1	0	0	2	3	4	0	0	0
잉어	27806	27836	27866	200	300	600	800	26	0	4000	6000	10000	0	1	0	0	2	3	4	0	0	0
연어	27807	27837	27867	200	200	500	600	33	0	6000	8000	10000	0	1	0	0	2	3	4	0	0	0
향어	27808	27838	27868	100	100	250	200	42	0	1500	3000	3800	0	1	0	0	2	3	4	0	0	0
송어	27809	27839	27869	100	100	250	350	54	0	5000	7000	8000	0	1	0	0	2	3	4	0	0	0
민물장어	27810	27840	27870	0	100	250	200	70	0	4000	5000	6000	1	0	0	2	3	0	4	0	0	0
무지개송어	27811	27841	27871	0	100	250	150	91	0	5000	7000	8000	1	0	0	2	3	0	4	0	0	0
강송어	27812	27842	27872	0	100	250	150	118	2	4000	6000	7000	1	0	0	2	3	0	4	0	0	0
러드	27813	27843	27873	0	100	200	100	153	0	4000	6000	10000	1	0	0	2	3	0	4	0	0	0
퍼치	27814	27844	27874	0	100	200	100	198	0	3000	4000	5000	1	0	0	2	3	0	4	0	0	0
텐치	27815	27845	27875	0	50	200	100	235	0	3500	5500	8000	1	0	0	2	3	0	4	0	0	0
메기	27816	27846	27876	50	50	200	100	257	0	3000	5000	10000	1	0	0	2	3	0	4	0	0	0
미꾸라지	27817	27847	27877	0	0	0	0	334	2	1800	2200	3000	1	0	0	2	3	0	4	0	0	0
백련	27818	27848	27878	50	50	200	100	370	0	5000	8000	10000	1	0	2	3	0	0	4	0	0	0
은어	27819	27849	27879	0	0	0	0	434	0	1500	3000	3800	1	0	2	3	0	0	4	0	0	0
빙어	27820	27850	27880	0	0	0	0	733	2	1500	3000	3800	1	0	2	3	0	0	4	0	0	0
쉬리	27821	27851	27881	0	0	0	0	952	0	1000	1500	2000	1	0	2	3	0	0	4	0	0	0
비늘잉어	27822	27852	27882	0	0	0	0	1608	1	4000	6000	10000	1	0	2	3	0	0	4	0	0	0
황금붕어	27823	27853	27883	0	0	0	0	2090	1	1000	3000	3500	1	0	2	3	0	0	4	0	0	0
탈색약	70201	0	0	100	100	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0
염색약(흰색)	70202	0	0	85	85	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0
염색약(금색)	70203	0	0	85	85	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0
염색약(빨간색)	70204	0	0	85	85	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0
염색약(갈색)	70205	0	0	85	85	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0
염색약(검은색)	70206	0	0	85	85	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0
은둔자의 망토	70048	0	0	25	25	200	100	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0
행운의 반지	70049	0	0	25	25	200	100	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0
선왕의 증표	70050	0	0	25	25	200	100	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0
선왕의 장갑	70051	0	0	25	25	200	100	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0
금덩어리	80008	0	0	25	25	100	100	250	1	0	0	0	0	0	0	0	0	0	0	0	0	0
은열쇠	50009	0	0	0	0	150	100	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0
금열쇠	50008	0	0	0	0	100	50	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
				9950	9950	9800	9900															
# 계산을 위한 라인																						
#																						
#																						
