//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum	
//NPC--------------------------------------------------------------------------------											
m	606	1242	0	0	0	5	1m	100	1	9001	
m	579	1234	0	0	0	3	1m	100	1	9002	
m	579	1223	0	0	0	3	1m	100	1	9003	
m	649	1272	0	0	0	6	1m	100	1	9005	
m	830	1279	0	0	0	5	1m	100	1	9012	
m	822	1149	0	0	0	1	1m	100	1	20004
m	838	1187	0	0	0	5	1m	100	1	9009	
m	803	1211	0	0	0	1	1m	100	1	20010	
m	504	1211	0	0	0	3	1m	100	1	20016	
m	618	1133	0	0	0	1	1m	100	1	20001	
m	693	1190	0	0	0	7	1m	100	1	20017	
m	665	1242	0	0	0	7	1m	100	1	20378
m	658	1205	0	0	0	6	1m	100	1	20413
m	754	1045	0	0	0	8	1m	100	1	20349	
m	550	1278	0	0	0	4	1m	100	1	20470	
m	614	1304	0	0	0	6	1m	100	1	20381	
m	1430	1140	0	0	0	1	1m	100	1	20382
m	587	1314	0	0	0	5	1m	100	1	20377
m	667	1236	0	0	0	7	1m	100	1	20383
g	780	1045	1	1	0	1	1m	100	1	12007	
											
//이동식경비병-----------------------------------------------------------------------											
g	646	1385	1	1	0	1	1m	100	1	12008	
g	680	1098	1	1	0	1	1m	100	1	12008	
g	690	1036	1	1	0	1	1m	100	1	12008	
g	656	995	1	1	0	1	1m	100	1	12008	
g	625	966	1	1	0	1	1m	100	1	12008	
g	649	909	1	1	0	1	1m	100	1	12008	
g	456	1157	1	1	0	1	1m	100	1	12008	
g	585	1134	1	1	0	1	1m	100	1	12008	
g	553	1063	1	1	0	1	1m	100	1	12008	
g	456	1006	1	1	0	1	1m	100	1	12008	
g	896	1138	1	1	0	1	1m	100	1	12008	
g	923	1241	1	1	0	1	1m	100	1	12008	
g	976	1377	1	1	0	1	1m	100	1	12008	
g	904	1178	1	1	0	1	1m	100	1	12008	
g	849	1170	1	1	0	1	1m	100	1	12008	
g	823	1118	1	1	0	1	1m	100	1	12008	
g	820	1262	1	1	0	1	1m	100	1	12008	
g	823	1118	1	1	0	1	1m	100	1	12008	
g	800	1160	1	1	0	1	1m	100	1	12008	
