//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
//quest_mob

//mob
r	1174	184	10	10	0	0	60s	100	1	3008
r	1266	192	10	10	0	0	60s	100	1	3008
r	1147	198	10	10	0	0	60s	100	1	3008
r	1195	198	10	10	0	0	60s	100	1	3008
r	1164	209	10	10	0	0	60s	100	1	3008
r	1174	209	10	10	0	0	60s	100	1	3008
r	1266	209	10	10	0	0	60s	100	1	3008
r	1191	216	10	10	0	0	60s	100	1	3008
r	1196	222	10	10	0	0	60s	100	1	3008
r	1217	225	10	10	0	0	60s	100	1	3008
r	1229	226	10	10	0	0	60s	100	1	3008
r	954	228	10	10	0	0	60s	100	1	3008
r	1257	230	10	10	0	0	60s	100	1	3008
r	1226	236	10	10	0	0	60s	100	1	3008
r	965	238	10	10	0	0	60s	100	1	3008
r	1189	239	10	10	0	0	60s	100	1	3008
r	983	254	10	10	0	0	60s	100	1	3008
r	969	256	10	10	0	0	60s	100	1	3008
r	1157	257	10	10	0	0	60s	100	1	3008
r	1217	257	10	10	0	0	60s	100	1	3008
r	1265	257	10	10	0	0	60s	100	1	3008
r	983	262	10	10	0	0	60s	100	1	3008
r	1147	263	10	10	0	0	60s	100	1	3008
r	1240	264	10	10	0	0	60s	100	1	3008
r	1110	268	10	10	0	0	60s	100	1	3008
r	1147	270	10	10	0	0	60s	100	1	3008
r	1174	274	10	10	0	0	60s	100	1	3008
r	1197	275	10	10	0	0	60s	100	1	3008
r	1227	275	10	10	0	0	60s	100	1	3008
r	983	276	10	10	0	0	60s	100	1	3008
r	1109	276	10	10	0	0	60s	100	1	3008
r	1079	285	10	10	0	0	60s	100	1	3008
r	1190	292	10	10	0	0	60s	100	1	3008
r	1080	300	10	10	0	0	60s	100	1	3008
r	979	309	10	10	0	0	60s	100	1	3008
r	1046	310	10	10	0	0	60s	100	1	3008
r	967	315	10	10	0	0	60s	100	1	3008
r	1156	317	10	10	0	0	60s	100	1	3008
r	1078	318	10	10	0	0	60s	100	1	3008
r	1196	322	10	10	0	0	60s	100	1	3008
r	1136	331	10	10	0	0	60s	100	1	3008
r	1045	336	10	10	0	0	60s	100	1	3008
