//type	cx	cy	sx	sy	z	dig	time	percent	count	vnum
//----------------------------------------------------------
m	869	587	50	100	0	0	300s	100	1	8051
m	854	623	50	100	0	0	300s	100	1	8051
m	833	670	50	100	0	0	300s	100	1	8051
m	827	700	50	100	0	0	300s	100	1	8051
m	937	807	50	100	0	0	300s	100	1	8051
m	952	759	50	100	0	0	300s	100	1	8051
m	973	715	50	100	0	0	300s	100	1	8051
m	987	649	50	100	0	0	300s	100	1	8051
m	1005	753	50	100	0	0	300s	100	1	8051
m	1050	804	50	100	0	0	300s	100	1	8051
m	1014	842	50	100	0	0	300s	100	1	8051
m	866	756	50	100	0	0	300s	100	1	8051
m	904	679	50	100	0	0	300s	100	1	8051
m	919	602	50	100	0	0	300s	100	1	8051
m	943	543	50	100	0	0	300s	100	1	8051
m	1251	732	50	100	0	0	300s	100	1	8051
m	1180	896	50	100	0	0	300s	100	1	8051
m	1195	878	50	100	0	0	300s	100	1	8051
m	1239	804	50	100	0	0	300s	100	1	8051
m	1272	753	50	100	0	0	300s	100	1	8051
m	783	225	50	100	0	0	300s	100	1	8051
m	726	237	50	100	0	0	300s	100	1	8051
m	670	264	50	100	0	0	300s	100	1	8051
m	632	282	50	100	0	0	300s	100	1	8051
m	599	344	50	100	0	0	300s	100	1	8051
m	581	519	50	100	0	0	300s	100	1	8051
m	368	451	50	100	0	0	300s	100	1	8051
m	614	842	50	100	0	0	300s	100	1	8051
m	670	815	50	100	0	0	300s	100	1	8051
m	605	661	50	100	0	0	300s	100	1	8051
m	569	590	50	100	0	0	300s	100	1	8051
m	231	732	50	100	0	0	300s	100	1	8051
m	249	608	50	100	0	0	300s	100	1	8051
m	308	617	50	100	0	0	300s	100	1	8051
m	294	756	50	100	0	0	300s	100	1	8051
m	258	261	50	100	0	0	300s	100	1	8051
m	276	255	50	100	0	0	300s	100	1	8051
m	184	326	50	100	0	0	300s	100	1	8051
m	178	374	50	100	0	0	300s	100	1	8051
m	219	430	50	100	0	0	300s	100	1	8051
m	1296	1213	50	100	0	0	300s	100	1	8052
m	1216	1237	50	100	0	0	300s	100	1	8052
m	1210	1305	50	100	0	0	300s	100	1	8052
m	1284	1325	50	100	0	0	300s	100	1	8052
m	1337	1269	50	100	0	0	300s	100	1	8052
m	1370	1156	50	100	0	0	300s	100	1	8052
m	1417	1142	50	100	0	0	300s	100	1	8052
m	1373	1275	50	100	0	0	300s	100	1	8052
m	1361	1314	50	100	0	0	300s	100	1	8052
m	1343	1038	50	100	0	0	300s	100	1	8052
m	1370	961	50	100	0	0	300s	100	1	8052
m	1388	898	50	100	0	0	300s	100	1	8052
m	1361	815	50	100	0	0	300s	100	1	8052
m	1325	762	50	100	0	0	300s	100	1	8052
m	1305	718	50	100	0	0	300s	100	1	8052
m	1269	469	50	100	0	0	300s	100	1	8052
m	1305	394	50	100	0	0	300s	100	1	8052
m	1328	320	50	100	0	0	300s	100	1	8052
m	1328	264	50	100	0	0	300s	100	1	8052
m	1305	213	50	100	0	0	300s	100	1	8052
m	1245	202	50	100	0	0	300s	100	1	8052
m	1192	234	50	100	0	0	300s	100	1	8052
m	1171	294	50	100	0	0	300s	100	1	8052
m	1130	347	50	100	0	0	300s	100	1	8052
m	1073	383	50	100	0	0	300s	100	1	8052
m	1011	412	50	100	0	0	300s	100	1	8052
m	943	332	50	100	0	0	300s	100	1	8052
m	833	931	50	100	0	0	300s	100	1	8052
m	901	964	50	100	0	0	300s	100	1	8052
m	952	1029	50	100	0	0	300s	100	1	8052
m	1023	1056	50	100	0	0	300s	100	1	8052
m	1091	1079	50	100	0	0	300s	100	1	8052
m	1148	1094	50	100	0	0	300s	100	1	8052
m	400	928	50	100	0	0	300s	100	1	8052
m	486	652	50	100	0	0	300s	100	1	8052
m	445	528	50	100	0	0	300s	100	1	8052
m	445	448	50	100	0	0	300s	100	1	8052
m	409	371	50	100	0	0	300s	100	1	8052
m	569	160	50	100	0	0	300s	100	1	8052
