//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
//-----------------------------------------------------------------------------------
// 워프
m	752	1415	0	0	0	0	1m	100	1	10007
m	156	283	0	0	0	0	1m	100	1	10009
m	1392	154	0	0	0	0	1m	100	1	10011
m	1413	1453	0	0	0	0	1m	100	1	10026
// 다나까 -----------------------------------------------------------------------------------
s	0	0	0	0	0	0	600s	100	15	5004
// 워프NPC -----------------------------------------------------------------------------------
m	780	620	0	0	0	0	60s	100	1	9012
//m	810	633	0	0	0	0	60s	100	1	10059
// Quest NPC ---------------------------------------------------------------------------------
m	374	1411	0	0	0	0	60s	100	1	20359
m	1463	513	0	0	0	0	60s	100	1	20359
m	467	5030	0	0	0	0	60s	100	1	20359
m	243	1422	0	0	0	5	60s	100	1	20371
m	765	609	0	0	0	0	60s	100	1	20384
m	734	106	0	0	0	0	60s	100	1	20395
m	729	106	0	0	0	0	1s	100	1	20375
m	736	104	0	0	0	0	1s	100	1	20375

//공성맵 NPC
m	539	1424	0	0	0	0	60s	100	1	20097
m	156	700	0	0	0	0	60s	100	1	20098
m	985	132	0	0	0	0	60s	100	1	20099
