//type	cx	cy	sx	sy	z	dig	time	percent	count	vnum
//----------------------------------------------------------
m	550	1308	50	100	0	0	300s	100	1	8052
m	519	1269	50	100	0	0	300s	100	1	8052
m	605	1406	50	100	0	0	300s	100	1	8052
m	646	1278	50	100	0	0	300s	100	1	8052
m	688	1219	50	100	0	0	300s	100	1	8052
m	658	1133	50	100	0	0	300s	100	1	8052
m	645	1085	50	100	0	0	300s	100	1	8052
m	646	1023	50	100	0	0	300s	100	1	8052
m	620	1029	50	100	0	0	300s	100	1	8052
m	592	1088	50	100	0	0	300s	100	1	8052
m	531	1130	50	100	0	0	300s	100	1	8052
m	606	940	50	100	0	0	300s	100	1	8052
m	623	872	50	100	0	0	300s	100	1	8052
m	658	884	50	100	0	0	300s	100	1	8052
m	683	925	50	100	0	0	300s	100	1	8052
m	557	821	50	100	0	0	300s	100	1	8052
m	514	729	50	100	0	0	300s	100	1	8052
m	563	688	50	100	0	0	300s	100	1	8052
m	617	655	50	100	0	0	300s	100	1	8052
m	654	587	50	100	0	0	300s	100	1	8052
m	599	540	50	100	0	0	300s	100	1	8052
m	549	519	50	100	0	0	300s	100	1	8052
m	544	454	50	100	0	0	300s	100	1	8052
m	603	460	50	100	0	0	300s	100	1	8052
m	639	400	50	100	0	0	300s	100	1	8052
m	586	308	50	100	0	0	300s	100	1	8052
m	632	231	50	100	0	0	300s	100	1	8052
m	645	139	50	100	0	0	300s	100	1	8052
m	577	151	50	100	0	0	300s	100	1	8052
m	510	160	50	100	0	0	300s	100	1	8052
m	471	181	50	100	0	0	300s	100	1	8052
m	443	261	50	100	0	0	300s	100	1	8052
m	411	350	50	100	0	0	300s	100	1	8052
m	446	412	50	100	0	0	300s	100	1	8052
m	488	403	50	100	0	0	300s	100	1	8052
m	431	445	50	100	0	0	300s	100	1	8052
m	378	466	50	100	0	0	300s	100	1	8052
m	387	652	50	100	0	0	300s	100	1	8052
m	390	738	50	100	0	0	300s	100	1	8052
m	399	848	50	100	0	0	300s	100	1	8052
m	384	937	50	100	0	0	300s	100	1	8052
m	424	1079	50	100	0	0	300s	100	1	8052
m	267	466	50	100	0	0	300s	100	1	8053
m	237	522	50	100	0	0	300s	100	1	8053
m	160	504	50	100	0	0	300s	100	1	8053
m	154	418	50	100	0	0	300s	100	1	8053
m	147	329	50	100	0	0	300s	100	1	8053
m	194	332	50	100	0	0	300s	100	1	8053
m	194	231	50	100	0	0	300s	100	1	8053
m	218	148	50	100	0	0	300s	100	1	8053
m	194	661	50	100	0	0	300s	100	1	8053
m	236	729	50	100	0	0	300s	100	1	8053
m	236	940	50	100	0	0	300s	100	1	8053
m	282	1097	50	100	0	0	300s	100	1	8053
m	151	1029	50	100	0	0	300s	100	1	8053
m	172	1239	50	100	0	0	300s	100	1	8053
m	246	1278	50	100	0	0	300s	100	1	8053
m	176	1091	50	100	0	0	300s	100	1	8053
m	120	1219	50	100	0	0	300s	100	1	8053
m	104	1115	50	100	0	0	300s	100	1	8053
m	322	608	50	100	0	0	300s	100	1	8053
m	331	531	50	100	0	0	300s	100	1	8053
m	242	1074	50	100	0	0	300s	100	1	8052
m	520	1314	50	100	0	0	300s	100	1	8052
m	554	1154	50	100	0	0	300s	100	1	8052
m	474	1102	50	100	0	0	300s	100	1	8052
m	482	990	50	100	0	0	300s	100	1	8052
m	538	714	50	100	0	0	300s	100	1	8052
m	514	648	50	100	0	0	300s	100	1	8052
m	346	728	50	100	0	0	300s	100	1	8052
m	212	638	50	100	0	0	300s	100	1	8052
m	200	1050	50	100	0	0	300s	100	1	8052
m	122	1258	50	100	0	0	300s	100	1	8052
m	390	1358	50	100	0	0	300s	100	1	8052
m	594	920	50	100	0	0	300s	100	1	8053
m	668	1254	50	100	0	0	300s	100	1	8053
m	558	1432	50	100	0	0	300s	100	1	8053
m	236	866	50	100	0	0	300s	100	1	8053
m	226	792	50	100	0	0	300s	100	1	8053
m	168	1178	50	100	0	0	300s	100	1	8053
m	328	1318	50	100	0	0	300s	100	1	8053
m	430	816	50	100	0	0	300s	100	1	8053
m	520	678	50	100	0	0	300s	100	1	8053
m	472	150	50	100	0	0	300s	100	1	8053
m	434	166	50	100	0	0	300s	100	1	8053
m	624	176	50	100	0	0	300s	100	1	8053
m	664	182	50	100	0	0	300s	100	1	8053
m	588	350	50	100	0	0	300s	100	1	8053
m	208	594	50	100	0	0	300s	100	1	8053
m	210	454	50	100	0	0	300s	100	1	8053
m	142	288	50	100	0	0	300s	100	1	8053
m	150	676	50	100	0	0	300s	100	1	8053
