//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
//quest_mob
g	742	78	10	10	0	0	60s	100	1	20001
//mob
r	742	69	10	10	0	0	60s	100	1	3005
r	694	76	10	10	0	0	60s	100	1	3005
r	698	82	10	10	0	0	60s	100	1	3005
r	755	83	10	10	0	0	60s	100	1	3005
r	763	88	10	10	0	0	60s	100	1	3005
r	786	93	10	10	0	0	60s	100	1	3005
r	700	94	10	10	0	0	60s	100	1	3005
r	715	94	10	10	0	0	60s	100	1	3005
r	786	94	10	10	0	0	60s	100	1	3005
r	764	96	10	10	0	0	60s	100	1	3005
r	761	100	10	10	0	0	60s	100	1	3005
r	767	101	10	10	0	0	60s	100	1	3005
r	776	110	10	10	0	0	60s	100	1	3005
r	745	116	10	10	0	0	60s	100	1	3005
r	723	124	10	10	0	0	60s	100	1	3005
r	719	130	10	10	0	0	60s	100	1	3005
r	693	133	10	10	0	0	60s	100	1	3005
r	720	135	10	10	0	0	60s	100	1	3005
r	740	137	10	10	0	0	60s	100	1	3005
r	748	160	10	10	0	0	60s	100	1	3005
r	728	253	10	10	0	0	60s	100	1	3005
r	750	263	10	10	0	0	60s	100	1	3005
r	733	265	10	10	0	0	60s	100	1	3005
r	713	267	10	10	0	0	60s	100	1	3005
r	720	267	10	10	0	0	60s	100	1	3005
r	764	268	10	10	0	0	60s	100	1	3005
r	788	269	10	10	0	0	60s	100	1	3005
r	808	272	10	10	0	0	60s	100	1	3005
r	777	286	10	10	0	0	60s	100	1	3005
r	767	288	10	10	0	0	60s	100	1	3005
r	759	291	10	10	0	0	60s	100	1	3005
r	841	291	10	10	0	0	60s	100	1	3005
r	772	293	10	10	0	0	60s	100	1	3005
r	744	294	10	10	0	0	60s	100	1	3005
r	845	294	10	10	0	0	60s	100	1	3005
r	820	296	10	10	0	0	60s	100	1	3005
r	770	300	10	10	0	0	60s	100	1	3005
r	832	306	10	10	0	0	60s	100	1	3005
r	820	320	10	10	0	0	60s	100	1	3005
r	734	376	10	10	0	0	60s	100	1	3005
r	772	378	10	10	0	0	60s	100	1	3005
r	728	385	10	10	0	0	60s	100	1	3005
r	748	385	10	10	0	0	60s	100	1	3005
r	853	392	10	10	0	0	60s	100	1	3005
r	753	393	10	10	0	0	60s	100	1	3005
r	727	395	10	10	0	0	60s	100	1	3005
r	803	395	10	10	0	0	60s	100	1	3005
r	876	399	10	10	0	0	60s	100	1	3005
r	701	402	10	10	0	0	60s	100	1	3005
r	799	402	10	10	0	0	60s	100	1	3005
r	817	402	10	10	0	0	60s	100	1	3005
r	800	404	10	10	0	0	60s	100	1	3005
r	729	406	10	10	0	0	60s	100	1	3005
r	818	408	10	10	0	0	60s	100	1	3005
r	702	414	10	10	0	0	60s	100	1	3005
r	844	414	10	10	0	0	60s	100	1	3005
r	908	421	10	10	0	0	60s	100	1	3005
r	708	422	10	10	0	0	60s	100	1	3005
r	887	422	10	10	0	0	60s	100	1	3005
r	900	432	10	10	0	0	60s	100	1	3005
r	714	434	10	10	0	0	60s	100	1	3005
r	690	445	10	10	0	0	60s	100	1	3005
r	680	464	10	10	0	0	60s	100	1	3005
r	677	477	10	10	0	0	60s	100	1	3005
r	685	480	10	10	0	0	60s	100	1	3005
r	661	495	10	10	0	0	60s	100	1	3005
r	667	511	10	10	0	0	60s	100	1	3005
r	670	516	10	10	0	0	60s	100	1	3005
r	667	520	10	10	0	0	60s	100	1	3005
r	670	521	10	10	0	0	60s	100	1	3005
r	698	526	10	10	0	0	60s	100	1	3005
r	701	545	10	10	0	0	60s	100	1	3005
r	697	564	10	10	0	0	60s	100	1	3005
r	738	574	10	10	0	0	60s	100	1	3005
r	705	587	10	10	0	0	60s	100	1	3005
r	733	590	10	10	0	0	60s	100	1	3005
r	736	591	10	10	0	0	60s	100	1	3005
r	734	602	10	10	0	0	60s	100	1	3005
r	719	615	10	10	0	0	60s	100	1	3005
r	738	617	10	10	0	0	60s	100	1	3005
r	741	617	10	10	0	0	60s	100	1	3005
r	740	624	10	10	0	0	60s	100	1	3005
r	751	627	10	10	0	0	60s	100	1	3005
r	745	634	10	10	0	0	60s	100	1	3005
r	762	649	10	10	0	0	60s	100	1	3005
r	748	658	10	10	0	0	60s	100	1	3005
r	706	672	10	10	0	0	60s	100	1	3005
r	728	673	10	10	0	0	60s	100	1	3005
r	744	682	10	10	0	0	60s	100	1	3005
r	728	696	10	10	0	0	60s	100	1	3005
r	914	60	10	10	0	0	60s	100	1	3006
r	913	72	10	10	0	0	60s	100	1	3006
r	841	86	10	10	0	0	60s	100	1	3006
r	875	86	10	10	0	0	60s	100	1	3006
r	866	96	10	10	0	0	60s	100	1	3006
r	818	101	10	10	0	0	60s	100	1	3006
r	832	102	10	10	0	0	60s	100	1	3006
