//type	cx	cy	sx	sy	z	dig	time	percent	count	vnum
//----------------------------------------------------------
m	668	1056	50	100	0	0	300s	100	1	8055
m	635	1100	50	100	0	0	300s	100	1	8055
m	587	1165	50	100	0	0	300s	100	1	8055
m	613	1281	50	100	0	0	300s	100	1	8055
m	747	1278	50	100	0	0	300s	100	1	8055
m	803	1180	50	100	0	0	300s	100	1	8055
m	803	1038	50	100	0	0	300s	100	1	8055
m	812	937	50	100	0	0	300s	100	1	8055
m	931	973	50	100	0	0	300s	100	1	8055
m	903	1124	50	100	0	0	300s	100	1	8055
m	816	1201	50	100	0	0	300s	100	1	8055
m	909	1302	50	100	0	0	300s	100	1	8055
m	897	1394	50	100	0	0	300s	100	1	8055
m	793	1337	50	100	0	0	300s	100	1	8055
m	338	1145	50	100	0	0	300s	100	1	8055
m	328	1014	50	100	0	0	300s	100	1	8055
m	253	967	50	100	0	0	300s	100	1	8055
m	166	1079	50	100	0	0	300s	100	1	8055
m	152	798	50	100	0	0	300s	100	1	8055
m	176	682	50	100	0	0	300s	100	1	8055
m	265	578	50	100	0	0	300s	100	1	8055
m	291	489	50	100	0	0	300s	100	1	8055
m	208	474	50	100	0	0	300s	100	1	8055
m	128	489	50	100	0	0	300s	100	1	8055
m	156	599	50	100	0	0	300s	100	1	8055
m	128	534	50	100	0	0	300s	100	1	8055
m	287	516	50	100	0	0	300s	100	1	8055
m	306	560	50	100	0	0	300s	100	1	8055
m	285	412	50	100	0	0	300s	100	1	8055
m	312	299	50	100	0	0	300s	100	1	8055
m	405	279	50	100	0	0	300s	100	1	8055
m	435	228	50	100	0	0	300s	100	1	8055
m	330	139	50	100	0	0	300s	100	1	8055
m	249	130	50	100	0	0	300s	100	1	8055
m	210	222	50	100	0	0	300s	100	1	8055
m	198	288	50	100	0	0	300s	100	1	8055
m	119	228	50	100	0	0	300s	100	1	8055
m	121	113	50	100	0	0	300s	100	1	8055
m	178	77	50	100	0	0	300s	100	1	8055
m	148	95	50	100	0	0	300s	100	1	8055
m	125	213	50	100	0	0	300s	100	1	8055
m	166	237	50	100	0	0	300s	100	1	8055
m	178	273	50	100	0	0	300s	100	1	8055
m	374	350	50	100	0	0	300s	100	1	8055
m	395	219	50	100	0	0	300s	100	1	8055
m	474	166	50	100	0	0	300s	100	1	8055
m	552	157	50	100	0	0	300s	100	1	8055
m	593	145	50	100	0	0	300s	100	1	8055
m	510	199	50	100	0	0	300s	100	1	8055
m	607	178	50	100	0	0	300s	100	1	8054
m	654	228	50	100	0	0	300s	100	1	8054
m	708	246	50	100	0	0	300s	100	1	8054
m	755	255	50	100	0	0	300s	100	1	8054
m	811	282	50	100	0	0	300s	100	1	8054
m	850	317	50	100	0	0	300s	100	1	8054
m	856	338	50	100	0	0	300s	100	1	8054
m	888	415	50	100	0	0	300s	100	1	8054
m	943	294	50	100	0	0	300s	100	1	8054
m	947	228	50	100	0	0	300s	100	1	8054
m	903	157	50	100	0	0	300s	100	1	8054
m	852	136	50	100	0	0	300s	100	1	8054
m	793	122	50	100	0	0	300s	100	1	8054
m	743	116	50	100	0	0	300s	100	1	8054
m	712	116	50	100	0	0	300s	100	1	8054
m	733	71	50	100	0	0	300s	100	1	8054
m	722	107	50	100	0	0	300s	100	1	8054
m	759	98	50	100	0	0	300s	100	1	8054
m	783	122	50	100	0	0	300s	100	1	8054
m	868	110	50	100	0	0	300s	100	1	8054
m	901	86	50	100	0	0	300s	100	1	8054
m	945	199	50	100	0	0	300s	100	1	8054
m	903	531	50	100	0	0	300s	100	1	8054
m	909	640	50	100	0	0	300s	100	1	8054
m	892	709	50	100	0	0	300s	100	1	8054
m	915	804	50	100	0	0	300s	100	1	8054
m	890	759	50	100	0	0	300s	100	1	8054
m	830	789	50	100	0	0	300s	100	1	8054
m	737	798	50	100	0	0	300s	100	1	8054
m	722	655	50	100	0	0	300s	100	1	8054
m	720	581	50	100	0	0	300s	100	1	8054
m	690	504	50	100	0	0	300s	100	1	8054
m	698	439	50	100	0	0	300s	100	1	8054
m	745	400	50	100	0	0	300s	100	1	8054
m	783	388	50	100	0	0	300s	100	1	8054
