//type	cx	cy	sx	sy	z	dig	time	percent	count	vnum
//----------------------------------------------------------
m	224	153	150	200	0	0	360s	100	3	8005
m	450 	466	150	200	0	0	360s	100	1	8005
m	248 	497	150	200	0	0	360s	100	1	8005
m	890 	610	150	200	0	0	360s	100	1	8005
m	658	851	150	200	0	0	360s	100	1	8005
m	233 	134	150	200	0	0	360s	100	2	8004
m	486 	577	150	200	0	0	360s	100	2	8004
m	424 	559	150	200	0	0	360s	100	2	8003
m	368 	743	150	200	0	0	360s	100	1	8003
m	361 	733	150	200	0	0	360s	100	1	8003
m	365 	744	150	200	0	0	360s	100	1	8002
m	233 	134	150	200	0	0	360s	100	1	8001
m	179	817	150	200	0	0	360s	100	1	8003
m	900	873	200	150	0	0	360s	100	1	8001
m	556	901	200	150	0	0	360s	100	1	8005
m	775	92	200	150	0	0	360s	100	1	8004
m	712	965	150	150	0	0	360s	100	1	8005
m	276	1107	200	150	0	0	360s	100	1	8003
m	865	809	200	150	0	0	360s	100	1	8002
m	870	835	200	150	0	0	360s	100	2	8003
m	213	472	150	150	0	0	360s	100	2	8005
m	494	930	200	150	0	0	360s	100	1	8004
m	548 	369	200	150	0	0	360s	100	1	8005
m	458 	225	200	150	0	0	360s	100	1	8004
m	494	930	200	150	0	0	360s	100	1	8003
m	494	930	200	150	0	0	360s	100	1	8003
m	123 	248	200	150	0	0	360s	100	1	8003
m	838	741	200	150	0	0	360s	100	1	8001
m	811	521	200	150	0	0	360s	100	1	8001
m	875	393	200	150	0	0	360s	100	1	8001
m	869	177	200	150	0	0	360s	100	1	8001
m	623	102	200	150	0	0	360s	100	1	8001
m	336	313	200	150	0	0	360s	100	1	8001
m	191	380	200	150	0	0	360s	100	1	8001
m	168	466	200	150	0	0	360s	100	1	8001
m	81	599	200	150	0	0	360s	100	1	8001
m	95	1083	200	150	0	0	360s	100	1	8001
m	108	1028	200	150	0	0	360s	100	1	8001
m	128	1096	200	150	0	0	360s	100	1	8001
m	253	1027	200	150	0	0	360s	100	1	8001
m	346	939	200	150	0	0	360s	100	1	8001
m	359	815	200	150	0	0	360s	100	2	8001
m	535	872	200	150	0	0	360s	100	1	8001
m	595	1017	200	150	0	0	360s	100	1	8001
m	778	989	200	150	0	0	360s	100	1	8001
m	805	547	200	150	0	0	360s	100	1	8002
m	861	425	200	150	0	0	360s	100	1	8002
m	925	245	200	150	0	0	360s	100	1	8002
m	511	151	200	150	0	0	360s	100	1	8002
m	366	294	200	150	0	0	360s	100	1	8002
m	231	339	200	150	0	0	360s	100	1	8002
m	192	225	200	150	0	0	360s	100	1	8002
m	200	432	200	150	0	0	360s	100	2	8002
m	409	765	200	150	0	0	360s	100	1	8002
m	479	964	200	150	0	0	360s	100	1	8002
m	782	801	200	150	0	0	360s	100	1	8002
m	906	1031	200	150	0	0	360s	100	1	8002
m	937	985	200	150	0	0	360s	100	1	8002
m	574	1105	200	150	0	0	360s	100	1	8002
m	887	752	200	150	0	0	360s	100	1	8003
m	920	213	200	150	0	0	360s	100	2	8003
m	698	268	200	150	0	0	360s	100	1	8003
m	756	196	200	150	0	0	360s	100	1	8003
m	304	367	200	150	0	0	360s	100	1	8003
m	242	246	200	150	0	0	360s	100	1	8003
m	139	687	200	150	0	0	360s	100	1	8003
m	140	847	200	150	0	0	360s	100	1	8003
m	815	436	200	150	0	0	360s	100	1	8004
m	828	823	200	150	0	0	360s	100	1	8004
m	554	986	200	150	0	0	360s	100	1	8004
m	194	851	200	150	0	0	360s	100	2	8004
m	248	371	200	150	0	0	360s	100	1	8004
m	181	133	200	150	0	0	360s	100	1	8004
m	647	100	200	150	0	0	360s	100	1	8004
m	823	477	200	150	0	0	360s	100	1	8005
m	946	226	200	150	0	0	360s	100	1	8005
m	272	190	200	150	0	0	360s	100	2	8005
m	169	357	200	150	0	0	360s	100	1	8005
m	169	920	200	150	0	0	360s	100	1	8005
