//type	cx	cy	sx	sy	z	dig	time	percent	count	vnum
//----------------------------------------------------------
m	173	215	0	0	0	0	360s	100	2	8005
m	376	113	0	0	0	0	360s	100	1	8005
m	663	190	0	0	0	0	360s	100	1	8005
m	778	217	0	0	0	0	360s	100	1	8005
m	729	403	0	0	0	0	360s	100	1	8005
m	748	849	0	0	0	0	360s	100	1	8005
m	597	721	0	0	0	0	360s	100	2	8005
m	382	785	0	0	0	0	360s	100	1	8005
m	352	616	0	0	0	0	360s	100	1	8005
m	206	680	0	0	0	0	360s	100	1	8005
m	516	824	0	0	0	0	360s	100	1	8006
m	752	653	0	0	0	0	360s	100	1	8006
m	495	178	0	0	0	0	360s	100	1	8006
m	333	222	0	0	0	0	360s	100	1	8006
m	190	411	0	0	0	0	360s	100	1	8006
m	268	838	0	0	0	0	360s	100	1	8007
m	172	607	0	0	0	0	360s	100	2	8007
m	351	523	0	0	0	0	360s	100	1	8007
m	831	341	0	0	0	0	360s	100	1	8007
m	411	169	0	0	0	0	360s	100	1	8007
m	225	489	0	0	0	0	360s	100	1	8007
m	266	503	200	150	0	0	360s	100	1	8007
m	845 	559	200	150	0	0	360s	100	1	8007
m	414	596	150	150	0	0	360s	100	1	8007
m	425	659	150	150	0	0	360s	100	1	8007
m	457	685	200	150	0	0	360s	100	1	8007
m	495	668	200	150	0	0	360s	100	2	8007
m	616	864	200	150	0	0	360s	100	1	8007
m	652	736	200	150	0	0	360s	100	1	8007
m	722	219	5	5	0	0	360s	100	1	8005
m	449	163	5	5	0	0	360s	100	1	8005
m	167	392	5	5	0	0	360s	100	2	8005
m	172	742	5	5	0	0	360s	100	1	8005
m	257	649	5	5	0	0	360s	100	1	8005
m	511	846	5	5	0	0	360s	100	1	8005
m	457	796	5	5	0	0	360s	100	1	8005
m	806	666	5	5	0	0	360s	100	1	8005
m	819	215	5	5	0	0	360s	100	1	8005
m	756	373	5	5	0	0	360s	100	1	8005
m	538	303	5	5	0	0	360s	100	1	8005
m	574	187	5	5	0	0	360s	100	1	8005
m	145	267	5	5	0	0	360s	100	1	8005
m	831	624	5	5	0	0	360s	100	1	8006
m	856	818	5	5	0	0	360s	100	1	8006
m	564	842	5	5	0	0	360s	100	1	8006
m	255	728	5	5	0	0	360s	100	2	8006
m	203	453	5	5	0	0	360s	100	1	8006
m	298	223	5	5	0	0	360s	100	1	8006
m	349	121	5	5	0	0	360s	100	1	8006
m	735	183	5	5	0	0	360s	100	1	8006
m	689	356	5	5	0	0	360s	100	1	8006
m	797	632	5	5	0	0	360s	100	1	8006
m	885	333	5	5	0	0	360s	100	1	8006
m	675	831	5	5	0	0	360s	100	1	8006
m	815	375	5	5	0	0	360s	100	2	8007
m	767	694	5	5	0	0	360s	100	1	8007
m	176	510	5	5	0	0	360s	100	1	8007
m	183	715	5	5	0	0	360s	100	1	8007
m	187	246	5	5	0	0	360s	100	1	8007
m	351	94	5	5	0	0	360s	100	1	8007
m	753	213	5	5	0	0	360s	100	1	8007
m	759	328	5	5	0	0	360s	100	1	8007
m	566	447	5	5	0	0	360s	100	1	8007
m	517	509	5	5	0	0	360s	100	1	8007
m	188	436	5	5	0	0	360s	100	1	8007
m	251	674	5	5	0	0	360s	100	2	8007
m	776	741	5	5	0	0	360s	100	1	8007
