//type	cx	cy	sx	sy	z	dig	time	percent	count	vnum
//----------------------------------------------------------
m	710	119	150	200	0	0	360s	100	1	8002
m	821	327	150	200	0	0	360s	100	2	8003
m	684	1150	150	200	0	0	360s	100	1	8004
m	78	935	150	200	0	0	360s	100	1	8003
m	117	340	150	200	0	0	360s	100	1	8004
m	495	947	150	200	0	0	360s	100	1	8003
m	728	876	150	200	0	0	360s	100	1	8003
m	772	652	150	200	0	0	360s	100	1	8003
m	708	848	150	200	0	0	360s	100	1	8003
m	154	1013	150	200	0	0	360s	100	1	8004
m	407	1070	150	150	0	0	360s	100	1	8002
m	137	365	200	150	0	0	360s	100	1	8002
m	691	379	200	150	0	0	360s	100	1	8004
m	443	940	150	150	0	0	360s	100	1	8004
m	672	298	150	150	0	0	360s	100	1	8003
m	650	755	200	150	0	0	360s	100	1	8003
m	501	166	200	150	0	0	360s	100	1	8003
m	170	584	200	150	0	0	360s	100	1	8004
m	192 	955	200	150	0	0	360s	100	1	8004
m	361	326	200	150	0	0	360s	100	1	8003
m	365	339	150	200	0	0	360s	100	2	8002
m	359	272	150	200	0	0	360s	100	1	8003
m	332	207	150	200	0	0	360s	100	1	8004
m	258	182	150	200	0	0	360s	100	1	8003
m	202	214	150	200	0	0	360s	100	1	8004
m	162	295	150	200	0	0	360s	100	1	8003
m	226	328	150	200	0	0	360s	100	1	8003
m	283	413	150	200	0	0	360s	100	1	8003
m	448	458	150	200	0	0	360s	100	1	8003
m	581	434	150	200	0	0	360s	100	1	8004
m	669	512	150	150	0	0	360s	100	1	8002
m	702	633	200	150	0	0	360s	100	2	8002
m	709	766	200	150	0	0	360s	100	1	8004
m	717	952	150	150	0	0	360s	100	1	8004
m	672	298	150	150	0	0	360s	100	1	8003
m	713	1049	200	150	0	0	360s	100	1	8003
m	680	1135	200	150	0	0	360s	100	1	8003
m	637	1193	200	150	0	0	360s	100	1	8004
m	467	824	200	150	0	0	360s	100	1	8003
m	753	691	200	150	0	0	360s	100	2	8002
m	731	655	200	150	0	0	360s	100	1	8002
m	586	691	200	150	0	0	360s	100	1	8002
m	545	875	200	150	0	0	360s	100	1	8002
m	458	1072	200	150	0	0	360s	100	1	8002
m	670	1184	200	150	0	0	360s	100	1	8002
m	185	898	200	150	0	0	360s	100	1	8002
m	203	714	200	150	0	0	360s	100	1	8002
m	188	371	200	150	0	0	360s	100	1	8002
m	357	248	200	150	0	0	360s	100	1	8002
m	357	147	200	150	0	0	360s	100	2	8002
m	660	129	200	150	0	0	360s	100	1	8002
m	708	164	200	150	0	0	360s	100	1	8002
m	626	317	200	150	0	0	360s	100	1	8002
m	448	373	200	150	0	0	360s	100	1	8002
m	417	350	200	150	0	0	360s	100	1	8002
m	78	346	200	150	0	0	360s	100	1	8002
m	214	815	200	150	0	0	360s	100	1	8002
m	85	887	200	150	0	0	360s	100	1	8002
m	187	1042	200	150	0	0	360s	100	1	8002
m	687	830	200	150	0	0	360s	100	1	8003
m	642	1028	200	150	0	0	360s	100	1	8003
m	608	841	200	150	0	0	360s	100	1	8003
m	625	661	200	150	0	0	360s	100	1	8003
m	503	854	200	150	0	0	360s	100	1	8003
m	699	662	200	150	0	0	360s	100	2	8001
m	674	176	200	150	0	0	360s	100	1	8001
m	290	168	200	150	0	0	360s	100	1	8001
m	362	412	200	150	0	0	360s	100	1	8001
m	395	441	200	150	0	0	360s	100	1	8001
m	358	460	200	150	0	0	360s	100	1	8001
m	262	390	200	150	0	0	360s	100	1	8001
m	364	373	200	150	0	0	360s	100	2	8001
m	295	721	200	150	0	0	360s	100	1	8001
m	212	916	200	150	0	0	360s	100	1	8001
m	160	877	200	150	0	0	360s	100	1	8001
m	85	922	200	150	0	0	360s	100	1	8001
m	184	1001	200	150	0	0	360s	100	1	8001
m	393	1040	200	150	0	0	360s	100	1	8001
m	394	936	200	150	0	0	360s	100	1	8001
m	429	854	200	150	0	0	360s	100	2	8001
m	582	966	200	150	0	0	360s	100	1	8001
m	633	1093	200	150	0	0	360s	100	1	8001
m	688	882	200	150	0	0	360s	100	1	8001
m	726	996	200	150	0	0	360s	100	1	8001
m	697	433	200	150	0	0	360s	100	1	8001
m	643	352	200	150	0	0	360s	100	1	8001
