//type	cx	cy	sx	sy	z	dig	time	percent	count	vnum
//----------------------------------------------------------
m	396	888	15	15	0	0	60s	100	2	8059
m	289	811	15	15	0	0	60s	100	2	8059
m	209	642	15	15	0	0	60s	100	2	8059
m	136	571	15	15	0	0	60s	100	2	8059
m	99	421	15	15	0	0	60s	100	2	8059
m	182	291	15	15	0	0	60s	100	2	8059
m	325	346	15	15	0	0	60s	100	2	8059
m	504	358	15	15	0	0	60s	100	2	8059
m	374	121	15	15	0	0	60s	100	2	8059
m	572	93	15	15	0	0	60s	100	2	8059
m	569	565	15	15	0	0	60s	100	2	8059
m	571	757	15	15	0	0	60s	100	2	8059
m	209	731	15	15	0	0	60s	100	2	8059
m	528	791	15	15	0	0	60s	100	2	8059
m	531	522	15	15	0	0	60s	100	2	8059
m	624	579	15	15	0	0	60s	100	2	8059
m	168	656	15	15	0	0	60s	100	2	8059
m	157	617	15	15	0	0	60s	100	2	8059
m	96	312	15	15	0	0	60s	100	2	8059
m	340	176	15	15	0	0	60s	100	2	8059
m	311	457	15	15	0	0	60s	100	2	8059
m	411	397	15	15	0	0	60s	100	2	8059
m	606	77	15	15	0	0	60s	100	2	8059
m	600	261	15	15	0	0	60s	100	2	8059
m	562	724	15	15	0	0	60s	100	2	8059
m	458	840	15	15	0	0	60s	100	2	8059
m	360	897	15	15	0	0	40s	100	1	8059
m	426	909	15	15	0	0	40s	100	1	8059
m	537	739	15	15	0	0	40s	100	1	8059
m	566	781	15	15	0	0	40s	100	1	8059
m	605	602	15	15	0	0	40s	100	1	8059
m	597	656	15	15	0	0	40s	100	1	8059
m	585	690	15	15	0	0	40s	100	1	8059
m	573	511	15	15	0	0	40s	100	1	8059
m	649	414	15	15	0	0	40s	100	1	8059
m	551	353	15	15	0	0	40s	100	1	8059
m	613	362	15	15	0	0	40s	100	1	8059
m	404	421	15	15	0	0	40s	100	1	8059
m	335	421	15	15	0	0	40s	100	1	8059
m	267	247	15	15	0	0	40s	100	1	8059
m	213	269	15	15	0	0	40s	100	1	8059
m	95	234	15	15	0	0	40s	100	1	8059
m	100	377	15	15	0	0	40s	100	2	8059
m	142	453	15	15	0	0	40s	100	2	8059
m	198	610	15	15	0	0	40s	100	2	8059
m	208	696	15	15	0	0	40s	100	2	8059
m	321	858	15	15	0	0	40s	100	2	8059
m	250	756	15	15	0	0	40s	100	2	8059
m	348	130	15	15	0	0	40s	100	2	8059
m	403	99	15	15	0	0	40s	100	2	8059
m	386	146	15	15	0	0	40s	100	2	8059
m	597	113	15	15	0	0	40s	100	2	8059
m	541	73	15	15	0	0	40s	100	2	8059
m	641	273	15	15	0	0	40s	100	2	8059
m	586	263	15	15	0	0	40s	100	2	8059
m	632	387	15	15	0	0	40s	100	2	8059
m	600	562	15	15	0	0	40s	100	2	8059
m	498	532	15	15	0	0	40s	100	2	8059
m	179	630	15	15	0	0	40s	100	2	8059
m	116	440	15	15	0	0	40s	100	2	8059
m	259	496	15	15	0	0	40s	100	2	8059
m	181	468	15	15	0	0	40s	100	2	8059
m	247	129	15	15	0	0	40s	100	2	8059
m	266	133	15	15	0	0	40s	100	2	8059
m	433	871	15	15	0	0	40s	100	1	8059
m	537	558	15	15	0	0	40s	100	1	8059
m	611	450	15	15	0	0	40s	100	1	8059
