//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
//quest_mob
g	598	303	10	10	0	0	60s	100	1	20004
g	810	281	10	10	0	0	60s	100	1	20003
g	186	199	10	10	0	0	60s	100	1	20002
m	899	143	10	10	0	0	3600s	100	1	3911
m	667	861	10	10	0	0	3600s	100	1	3912
m	1023	845	10	10	0	0	3600s	100	1	3913

//mob
r	1416	168	10	10	0	0	60s	100	1	3029
r	1316	224	10	10	0	0	60s	100	1	3029
r	1355	243	10	10	0	0	60s	100	1	3029
r	1359	249	10	10	0	0	60s	100	1	3029
r	1348	260	10	10	0	0	60s	100	1	3029
r	1344	262	10	10	0	0	60s	100	1	3029
r	1339	268	10	10	0	0	60s	100	1	3029
r	1369	274	10	10	0	0	60s	100	1	3029
r	1382	278	10	10	0	0	60s	100	1	3029
r	1339	280	10	10	0	0	60s	100	1	3029
r	1354	292	10	10	0	0	60s	100	1	3029
r	1356	292	10	10	0	0	60s	100	1	3029
r	1365	292	10	10	0	0	60s	100	1	3029
r	1376	300	10	10	0	0	60s	100	1	3029
r	1354	337	10	10	0	0	60s	100	1	3029
r	1375	347	10	10	0	0	60s	100	1	3029
r	1585	495	10	10	0	0	60s	100	1	3029
r	1614	516	10	10	0	0	60s	100	1	3029
r	1601	534	10	10	0	0	60s	100	1	3029
r	1602	538	10	10	0	0	60s	100	1	3029
r	1610	547	10	10	0	0	60s	100	1	3029
r	1629	554	10	10	0	0	60s	100	1	3029
r	1607	562	10	10	0	0	60s	100	1	3029
r	1607	570	10	10	0	0	60s	100	1	3029
r	1606	588	10	10	0	0	60s	100	1	3029
r	1618	588	10	10	0	0	60s	100	1	3029
r	1630	588	10	10	0	0	60s	100	1	3029
r	1604	590	10	10	0	0	60s	100	1	3029
r	1222	591	10	10	0	0	60s	100	1	3029
r	1638	600	10	10	0	0	60s	100	1	3029
r	1601	605	10	10	0	0	60s	100	1	3029
r	1229	607	10	10	0	0	60s	100	1	3029
r	1627	610	10	10	0	0	60s	100	1	3029
r	1240	611	10	10	0	0	60s	100	1	3029
r	1230	615	10	10	0	0	60s	100	1	3029
r	1623	619	10	10	0	0	60s	100	1	3029
r	1215	620	10	10	0	0	60s	100	1	3029
r	1212	621	10	10	0	0	60s	100	1	3029
r	1265	626	10	10	0	0	60s	100	1	3029
r	1620	635	10	10	0	0	60s	100	1	3029
r	1589	636	10	10	0	0	60s	100	1	3029
r	1249	644	10	10	0	0	60s	100	1	3029
r	1264	645	10	10	0	0	60s	100	1	3029
r	1288	648	10	10	0	0	60s	100	1	3029
r	1606	655	10	10	0	0	60s	100	1	3029
r	1419	659	10	10	0	0	60s	100	1	3029
r	1412	660	10	10	0	0	60s	100	1	3029
r	1421	660	10	10	0	0	60s	100	1	3029
r	1301	661	10	10	0	0	60s	100	1	3029
r	1626	669	10	10	0	0	60s	100	1	3029
r	1431	670	10	10	0	0	60s	100	1	3029
r	1635	677	10	10	0	0	60s	100	1	3029
r	1324	682	10	10	0	0	60s	100	1	3029
r	1571	690	10	10	0	0	60s	100	1	3029
r	1576	691	10	10	0	0	60s	100	1	3029
r	1355	693	10	10	0	0	60s	100	1	3029
r	1333	694	10	10	0	0	60s	100	1	3029
r	1469	699	10	10	0	0	60s	100	1	3029
r	1389	701	10	10	0	0	60s	100	1	3029
r	1389	703	10	10	0	0	60s	100	1	3029
r	1397	707	10	10	0	0	60s	100	1	3029
r	1600	708	10	10	0	0	60s	100	1	3029
r	1386	710	10	10	0	0	60s	100	1	3029
r	1353	711	10	10	0	0	60s	100	1	3029
r	1470	714	10	10	0	0	60s	100	1	3029
r	1593	714	10	10	0	0	60s	100	1	3029
r	1580	716	10	10	0	0	60s	100	1	3029
r	1616	719	10	10	0	0	60s	100	1	3029
r	1595	721	10	10	0	0	60s	100	1	3029
r	1376	722	10	10	0	0	60s	100	1	3029
r	1396	722	10	10	0	0	60s	100	1	3029
r	1638	722	10	10	0	0	60s	100	1	3029
r	1551	724	10	10	0	0	60s	100	1	3029
r	1611	724	10	10	0	0	60s	100	1	3029
r	1518	726	10	10	0	0	60s	100	1	3029
r	1525	727	10	10	0	0	60s	100	1	3029
r	1462	733	10	10	0	0	60s	100	1	3029
r	1634	733	10	10	0	0	60s	100	1	3029
r	1461	734	10	10	0	0	60s	100	1	3029
r	1539	735	10	10	0	0	60s	100	1	3029
r	1543	735	10	10	0	0	60s	100	1	3029
r	1455	737	10	10	0	0	60s	100	1	3029
r	1355	739	10	10	0	0	60s	100	1	3029
r	1624	741	10	10	0	0	60s	100	1	3029
r	1539	746	10	10	0	0	60s	100	1	3029
r	1519	747	10	10	0	0	60s	100	1	3029
r	1610	747	10	10	0	0	60s	100	1	3029
r	1440	748	10	10	0	0	60s	100	1	3029
r	1533	748	10	10	0	0	60s	100	1	3029
r	1501	751	10	10	0	0	60s	100	1	3029
r	1405	753	10	10	0	0	60s	100	1	3029
r	1540	754	10	10	0	0	60s	100	1	3029
r	1608	756	10	10	0	0	60s	100	1	3029
r	1467	757	10	10	0	0	60s	100	1	3029
r	1513	759	10	10	0	0	60s	100	1	3029
r	1402	761	10	10	0	0	60s	100	1	3029
r	1620	763	10	10	0	0	60s	100	1	3029
r	1610	764	10	10	0	0	60s	100	1	3029
r	1596	767	10	10	0	0	60s	100	1	3029
r	1484	769	10	10	0	0	60s	100	1	3029
r	1571	769	10	10	0	0	60s	100	1	3029
r	1467	772	10	10	0	0	60s	100	1	3029
r	1577	772	10	10	0	0	60s	100	1	3029
r	1426	773	10	10	0	0	60s	100	1	3029
r	1484	773	10	10	0	0	60s	100	1	3029
r	1572	773	10	10	0	0	60s	100	1	3029
r	1599	773	10	10	0	0	60s	100	1	3029
r	1408	774	10	10	0	0	60s	100	1	3029
r	1540	775	10	10	0	0	60s	100	1	3029
r	1558	777	10	10	0	0	60s	100	1	3029
r	1412	784	10	10	0	0	60s	100	1	3029
r	1421	785	10	10	0	0	60s	100	1	3029
r	1404	787	10	10	0	0	60s	100	1	3029
r	1502	790	10	10	0	0	60s	100	1	3029
r	1442	792	10	10	0	0	60s	100	1	3029
r	1431	821	10	10	0	0	60s	100	1	3029
r	1442	829	10	10	0	0	60s	100	1	3029
r	1447	173	10	10	0	0	60s	100	1	3030
r	1440	177	10	10	0	0	60s	100	1	3030
r	1445	186	10	10	0	0	60s	100	1	3030
r	1454	187	10	10	0	0	60s	100	1	3030
r	1456	192	10	10	0	0	60s	100	1	3030
r	1444	197	10	10	0	0	60s	100	1	3030
r	1423	199	10	10	0	0	60s	100	1	3030
r	1418	201	10	10	0	0	60s	100	1	3030
r	1431	201	10	10	0	0	60s	100	1	3030
r	1427	203	10	10	0	0	60s	100	1	3030
r	1473	205	10	10	0	0	60s	100	1	3030
r	1477	210	10	10	0	0	60s	100	1	3030
r	1497	210	10	10	0	0	60s	100	1	3030
r	1441	212	10	10	0	0	60s	100	1	3030
r	1446	221	10	10	0	0	60s	100	1	3030
r	1501	223	10	10	0	0	60s	100	1	3030
r	1438	225	10	10	0	0	60s	100	1	3030
r	1453	226	10	10	0	0	60s	100	1	3030
r	1453	230	10	10	0	0	60s	100	1	3030
