//type	cx	cy	sx	sy	z	dig	time	percent	count	vnum
//----------------------------------------------------------
m	180	140	50	100	0	0	300s	100	2	8170
m	152	219	50	100	0	0	300s	100	2	8170
m	159	281	50	100	0	0	300s	100	2	8170
m	145	401	50	100	0	0	300s	100	2	8170
m	173	472	50	100	0	0	300s	100	2	8170
m	208	530	50	100	0	0	300s	100	2	8170
m	194	593	50	100	0	0	300s	100	2	8170
m	221	678	50	100	0	0	300s	100	2	8170
m	291	597	50	100	0	0	300s	100	2	8170
m	332	500	50	100	0	0	300s	100	2	8170
m	318	403	50	100	0	0	300s	100	2	8170
m	370	304	50	100	0	0	300s	100	2	8170
m	412	273	50	100	0	0	300s	100	2	8170
m	363	751	50	100	0	0	300s	100	2	8170
m	394	809	50	100	0	0	300s	100	2	8170
m	491	832	50	100	0	0	300s	100	2	8170
m	605	820	50	100	0	0	300s	100	2	8170
m	702	816	50	100	0	0	300s	100	2	8170
m	768	787	50	100	0	0	300s	100	2	8170
m	906	690	50	100	0	0	300s	100	2	8171
m	906	751	50	100	0	0	300s	100	2	8171
m	989	816	50	100	0	0	300s	100	2	8171
m	1072	781	50	100	0	0	300s	100	2	8171
m	1107	720	50	100	0	0	300s	100	2	8171
m	1117	637	50	100	0	0	300s	100	2	8171
m	1086	561	50	100	0	0	300s	100	2	8171
m	1055	470	50	100	0	0	300s	100	2	8171
m	1017	437	50	100	0	0	300s	100	2	8171
m	938	561	50	100	0	0	300s	100	2	8171
m	886	654	50	100	0	0	300s	100	2	8171
m	1021	716	50	100	0	0	300s	100	2	8171
m	1038	686	50	100	0	0	300s	100	2	8171
m	640	504	50	100	0	0	300s	100	2	8171
m	578	441	50	100	0	0	300s	100	2	8171
m	609	314	50	100	0	0	300s	100	2	8171
m	765	324	50	100	0	0	300s	100	2	8171
m	823	170	50	100	0	0	300s	100	2	8171
m	903	275	50	100	0	0	300s	100	2	8171
m	989	231	50	100	0	0	300s	100	2	8171
m	965	138	50	100	0	0	300s	100	2	8171
m	875	125	50	100	0	0	300s	100	2	8171
m	1059	253	50	100	0	0	300s	100	2	8171
m	1169	340	50	100	0	0	300s	100	2	8171
m	1066	366	50	100	0	0	300s	100	2	8171
m	1000	330	50	100	0	0	300s	100	2	8171
m	1110	287	50	100	0	0	300s	100	2	8171
m	1166	417	50	100	0	0	300s	100	2	8171
m	1200	441	50	100	0	0	300s	100	2	8171
m	1204	526	50	100	0	0	300s	100	2	8171
m	1238	583	50	100	0	0	300s	100	2	8171
m	1287	642	50	100	0	0	300s	100	2	8171
m	1436	694	50	100	0	0	300s	100	2	8171
m	1456	504	50	100	0	0	300s	100	2	8171
m	1474	417	50	100	0	0	300s	100	2	8171
m	1501	334	50	100	0	0	300s	100	2	8171
m	1467	212	50	100	0	0	300s	100	2	8171
m	1380	302	50	100	0	0	300s	100	2	8171
m	1446	378	50	100	0	0	300s	100	2	8171
m	1533	722	50	100	0	0	300s	100	2	8171
m	1346	690	50	100	0	0	300s	100	2	8171
m	1415	575	50	100	0	0	300s	100	2	8171
m	1429	506	50	100	0	0	300s	100	2	8171
m	1373	356	50	100	0	0	300s	100	2	8171
m	1394	304	50	100	0	0	300s	100	2	8171
m	1290	188	50	100	0	0	300s	100	2	8171
m	1235	269	50	100	0	0	300s	100	2	8171
m	1204	334	50	100	0	0	300s	100	2	8171
m	543	423	50	100	0	0	300s	100	2	8171
m	498	474	50	100	0	0	300s	100	2	8171
m	685	621	50	100	0	0	300s	100	2	8171
m	744	609	50	100	0	0	300s	100	2	8171
m	488	595	50	100	0	0	300s	100	2	8171
m	1364	266	50	100	0	0	300s	100	2	8170
m	1341	215	50	100	0	0	300s	100	2	8170
m	1402	210	50	100	0	0	300s	100	2	8170
m	1137	320	50	100	0	0	300s	100	2	8170
m	598	480	50	100	0	0	300s	100	2	8170
m	630	595	50	100	0	0	300s	100	2	8170
m	719	618	50	100	0	0	300s	100	2	8170
m	760	828	50	100	0	0	300s	100	2	8170
m	555	826	50	100	0	0	300s	100	2	8170
m	345	776	50	100	0	0	300s	100	2	8170
m	316	549	50	100	0	0	300s	100	2	8170
m	349	384	50	100	0	0	300s	100	2	8170
m	469	197	50	100	0	0	300s	100	2	8170
m	143	333	50	100	0	0	300s	100	2	8170
m	142	166	50	100	0	0	300s	100	2	8170
m	206	644	50	100	0	0	300s	100	2	8170
m	1486	737	50	100	0	0	300s	100	2	8170
m	1409	711	50	100	0	0	300s	100	2	8170
m	1616	566	50	100	0	0	300s	100	2	8170
m	1644	470	50	100	0	0	300s	100	2	8170
m	1011	825	50	100	0	0	300s	100	2	8170
m	988	725	50	100	0	0	300s	100	2	8170
m	1104	342	50	100	0	0	300s	100	2	8171
m	1042	206	50	100	0	0	300s	100	2	8171
m	932	191	50	100	0	0	300s	100	2	8171
m	887	330	50	100	0	0	300s	100	2	8171
m	588	307	50	100	0	0	300s	100	2	8171
m	536	402	50	100	0	0	300s	100	2	8171
m	526	452	50	100	0	0	300s	100	2	8171
m	1010	265	50	100	0	0	300s	100	2	8171
m	1360	212	50	100	0	0	300s	100	2	8171
m	1420	337	50	100	0	0	300s	100	2	8171
m	1427	644	50	100	0	0	300s	100	2	8171
m	1591	686	50	100	0	0	300s	100	2	8171
m	1618	623	50	100	0	0	300s	100	2	8171
