//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
// NO1										
r	75	162	1	1	0	0	120s	100	1	911
r	75	162	1	1	0	0	120s	100	1	911
r	76	197	1	1	0	0	120s	100	1	911
r	76	197	1	1	0	0	120s	100	1	911
r	78	234	1	1	0	0	120s	100	1	911
r	78	234	1	1	0	0	120s	100	1	911
r	81	272	1	1	0	0	120s	100	1	911
r	81	272	1	1	0	0	120s	100	1	911
r	100	213	1	1	0	0	120s	100	1	911
r	100	213	1	1	0	0	120s	100	1	911
r	142	216	1	1	0	0	120s	100	1	911
r	142	216	1	1	0	0	120s	100	1	911
r	145	244	1	1	0	0	120s	100	1	911
r	145	244	1	1	0	0	120s	100	1	911
r	144	277	1	1	0	0	120s	100	1	911
r	144	277	1	1	0	0	120s	100	1	911
// NO2										
r	239	108	1	1	0	0	120s	100	1	911
r	239	108	1	1	0	0	120s	100	1	911
r	278	107	1	1	0	0	120s	100	1	911
r	278	107	1	1	0	0	120s	100	1	911
r	301	118	1	1	0	0	120s	100	1	911
r	301	118	1	1	0	0	120s	100	1	911
r	300	156	1	1	0	0	120s	100	1	911
r	300	156	1	1	0	0	120s	100	1	911
r	281	175	1	1	0	0	120s	100	1	911
r	281	175	1	1	0	0	120s	100	1	911
r	237	172	1	1	0	0	120s	100	1	911
r	237	172	1	1	0	0	120s	100	1	911
r	228	192	1	1	0	0	120s	100	1	911
r	228	192	1	1	0	0	120s	100	1	911
r	228	230	1	1	0	0	120s	100	1	911
r	228	230	1	1	0	0	120s	100	1	911
r	252	240	1	1	0	0	120s	100	1	911
r	252	240	1	1	0	0	120s	100	1	911
r	289	239	1	1	0	0	120s	100	1	911
r	289	239	1	1	0	0	120s	100	1	911
// NO3										
r	423	239	1	1	0	0	120s	100	1	911
r	423	239	1	1	0	0	120s	100	1	911
r	418	178	1	1	0	0	120s	100	1	911
r	418	178	1	1	0	0	120s	100	1	911
r	417	116	1	1	0	0	120s	100	1	911
r	417	116	1	1	0	0	120s	100	1	911
r	450	117	1	1	0	0	120s	100	1	911
r	450	117	1	1	0	0	120s	100	1	911
r	484	121	1	1	0	0	120s	100	1	911
r	484	121	1	1	0	0	120s	100	1	911
r	484	163	1	1	0	0	120s	100	1	911
r	484	163	1	1	0	0	120s	100	1	911
r	486	210	1	1	0	0	120s	100	1	911
r	486	210	1	1	0	0	120s	100	1	911
r	487	253	1	1	0	0	120s	100	1	911
r	487	253	1	1	0	0	120s	100	1	911
// NO4										
r	105	370	1	1	0	0	120s	100	1	914
r	105	370	1	1	0	0	120s	100	1	914
r	136	367	1	1	0	0	120s	100	1	914
r	136	367	1	1	0	0	120s	100	1	914
r	164	372	1	1	0	0	120s	100	1	914
r	164	372	1	1	0	0	120s	100	1	914
r	164	400	1	1	0	0	120s	100	1	914
r	164	400	1	1	0	0	120s	100	1	914
r	164	434	1	1	0	0	120s	100	1	914
r	164	434	1	1	0	0	120s	100	1	914
r	138	428	1	1	0	0	120s	100	1	914
r	138	428	1	1	0	0	120s	100	1	914
r	107	435	1	1	0	0	120s	100	1	914
r	107	435	1	1	0	0	120s	100	1	914
r	168	462	1	1	0	0	120s	100	1	914
r	168	462	1	1	0	0	120s	100	1	914
r	165	496	1	1	0	0	120s	100	1	914
r	165	496	1	1	0	0	120s	100	1	914
r	139	496	1	1	0	0	120s	100	1	914
r	139	496	1	1	0	0	120s	100	1	914
r	109	499	1	1	0	0	120s	100	1	914
r	109	499	1	1	0	0	120s	100	1	914
// NO5										
r	319	359	1	1	0	0	120s	100	1	911
r	319	359	1	1	0	0	120s	100	1	911
r	283	362	1	1	0	0	120s	100	1	911
r	283	362	1	1	0	0	120s	100	1	911
r	251	362	1	1	0	0	120s	100	1	911
r	251	362	1	1	0	0	120s	100	1	911
r	251	393	1	1	0	0	120s	100	1	911
r	251	393	1	1	0	0	120s	100	1	911
r	252	427	1	1	0	0	120s	100	1	911
r	252	427	1	1	0	0	120s	100	1	911
r	281	428	1	1	0	0	120s	100	1	911
r	281	428	1	1	0	0	120s	100	1	911
r	310	431	1	1	0	0	120s	100	1	911
r	310	431	1	1	0	0	120s	100	1	911
r	310	459	1	1	0	0	120s	100	1	911
r	310	459	1	1	0	0	120s	100	1	911
r	310	494	1	1	0	0	120s	100	1	911
r	310	494	1	1	0	0	120s	100	1	911
r	279	494	1	1	0	0	120s	100	1	911
r	279	494	1	1	0	0	120s	100	1	911
r	243	496	1	1	0	0	120s	100	1	911
r	243	496	1	1	0	0	120s	100	1	911
// NO6										
r	495	349	1	1	0	0	120s	100	1	912
r	495	349	1	1	0	0	120s	100	1	912
r	460	352	1	1	0	0	120s	100	1	912
r	460	352	1	1	0	0	120s	100	1	912
r	427	355	1	1	0	0	120s	100	1	912
r	427	355	1	1	0	0	120s	100	1	912
r	425	383	1	1	0	0	120s	100	1	912
r	425	383	1	1	0	0	120s	100	1	912
r	428	416	1	1	0	0	120s	100	1	912
r	428	416	1	1	0	0	120s	100	1	912
r	460	416	1	1	0	0	120s	100	1	912
r	460	416	1	1	0	0	120s	100	1	912
r	493	415	1	1	0	0	120s	100	1	912
r	493	415	1	1	0	0	120s	100	1	912
r	429	449	1	1	0	0	120s	100	1	912
r	429	449	1	1	0	0	120s	100	1	912
r	431	482	1	1	0	0	120s	100	1	912
r	431	482	1	1	0	0	120s	100	1	912
r	461	482	1	1	0	0	120s	100	1	912
r	461	482	1	1	0	0	120s	100	1	912
r	494	482	1	1	0	0	120s	100	1	912
r	494	482	1	1	0	0	120s	100	1	912
// NO7										
r	128	549	1	1	0	0	120s	100	1	912
r	128	549	1	1	0	0	120s	100	1	912
r	166	549	1	1	0	0	120s	100	1	912
r	166	549	1	1	0	0	120s	100	1	912
r	194	551	1	1	0	0	120s	100	1	912
r	194	551	1	1	0	0	120s	100	1	912
r	195	579	1	1	0	0	120s	100	1	912
r	195	579	1	1	0	0	120s	100	1	912
r	195	615	1	1	0	0	120s	100	1	912
r	195	615	1	1	0	0	120s	100	1	912
r	160	614	1	1	0	0	120s	100	1	912
r	160	614	1	1	0	0	120s	100	1	912
r	125	614	1	1	0	0	120s	100	1	912
r	125	614	1	1	0	0	120s	100	1	912
r	123	647	1	1	0	0	120s	100	1	912
r	123	647	1	1	0	0	120s	100	1	912
r	123	677	1	1	0	0	120s	100	1	912
r	123	677	1	1	0	0	120s	100	1	912
r	151	681	1	1	0	0	120s	100	1	912
r	151	681	1	1	0	0	120s	100	1	912
r	183	683	1	1	0	0	120s	100	1	912
r	183	683	1	1	0	0	120s	100	1	912
r	182	713	1	1	0	0	120s	100	1	912
r	182	713	1	1	0	0	120s	100	1	912
r	183	746	1	1	0	0	120s	100	1	912
r	183	746	1	1	0	0	120s	100	1	912
r	148	747	1	1	0	0	120s	100	1	912
r	148	747	1	1	0	0	120s	100	1	912
r	115	747	1	1	0	0	120s	100	1	912
r	115	747	1	1	0	0	120s	100	1	912
// NO8										
r	538	57	1	1	0	0	120s	100	1	913
